"Proj","Pop","Treat","Timepoint","start_timestamp","end_timestamp","time_since_inoc","Width_cm","Height_cm"
"7x","A","C","0","2017-04-18 14:00:00","2017-04-19 14:20:00",24.3333333333333,1.6256,1.6256
"7x","A","G","0","2017-04-18 14:00:00","2017-04-19 14:20:00",24.3333333333333,1.5748,1.5494
"7x","A","L","0","2017-04-18 14:00:00","2017-04-19 14:20:00",24.3333333333333,1.6002,1.5748
"7x","A","G","1","2017-04-19 14:25:00","2017-04-20 14:25:00",24,1.6764,1.6764
"7x","A","C","1","2017-04-19 14:25:00","2017-04-20 14:25:00",24,1.8034,1.8542
"7x","A","L","1","2017-04-19 14:25:00","2017-04-20 14:25:00",24,1.5494,1.6002
"7x","B","L","0","2017-04-19 14:50:00","2017-04-20 14:21:00",23.5166666666667,1.651,1.6764
"7x","B","C","0","2017-04-19 14:50:00","2017-04-20 14:21:00",23.5166666666667,1.7272,1.7526
"7x","B","G","0","2017-04-19 14:50:00","2017-04-20 14:21:00",23.5166666666667,1.5494,1.5748
"7x","C","L","0","2017-04-19 14:50:00","2017-04-20 14:21:00",23.5166666666667,1.524,1.4732
"7x","C","C","0","2017-04-19 14:50:00","2017-04-20 14:21:00",23.5166666666667,1.7018,1.7272
"7x","A","C","2","2017-04-20 15:00:00","2017-04-21 12:49:00",21.8166666666667,1.4732,1.397
"7x","A","L","2","2017-04-20 15:00:00","2017-04-21 12:49:00",21.8166666666667,1.2446,1.1684
"7x","A","G","2","2017-04-20 15:00:00","2017-04-21 12:49:00",21.8166666666667,1.3462,1.3208
"7x","B","L","1","2017-04-20 15:00:00","2017-04-21 12:58:00",21.9666666666667,1.6256,1.5748
"7x","B","C","1","2017-04-20 15:00:00","2017-04-21 12:58:00",21.9666666666667,1.5494,1.5494
"7x","B","G","1","2017-04-20 15:00:00","2017-04-21 12:58:00",21.9666666666667,1.0668,1.0668
"7x","C","L","1","2017-04-20 15:00:00","2017-04-21 12:58:00",21.9666666666667,1.6764,1.6002
"7x","C","C","1","2017-04-20 15:00:00","2017-04-21 12:58:00",21.9666666666667,1.7526,1.6764
"7x","D","G","0","2017-04-20 15:00:00","2017-04-21 13:03:00",22.05,1.4224,1.397
"7x","D","C","0","2017-04-20 15:00:00","2017-04-21 13:03:00",22.05,1.5494,1.6002
"7x","E","L","0","2017-04-20 15:00:00","2017-04-21 13:03:00",22.05,1.2446,1.2446
"7x","E","G","0","2017-04-20 15:00:00","2017-04-21 13:03:00",22.05,1.3716,1.2954
"7x","E","C","0","2017-04-20 15:00:00","2017-04-21 13:03:00",22.05,1.5748,1.6256
"7x","C","C","2","2017-04-21 20:00:00","2017-04-22 22:39:00",26.65,2.5654,2.5146
"7x","C","L","2","2017-04-21 20:00:00","2017-04-22 22:39:00",26.65,0.9398,0.889
"7x","A","L","3","2017-04-21 20:00:00","2017-04-22 22:53:00",26.8833333333333,1.5494,1.4986
"7x","A","G","3","2017-04-21 20:00:00","2017-04-22 22:53:00",26.8833333333333,0.4064,0.4572
"7x","A","C","3","2017-04-21 20:00:00","2017-04-22 22:53:00",26.8833333333333,2.4638,2.413
"7x","B","L","2","2017-04-21 20:00:00","2017-04-22 22:53:00",26.8833333333333,0.7366,0.635
"7x","B","C","2","2017-04-21 20:00:00","2017-04-22 22:53:00",26.8833333333333,2.5654,2.6162
"7x","B","G","2","2017-04-21 20:00:00","2017-04-22 22:53:00",26.8833333333333,0.7874,0.7366
"7x","D","G","1","2017-04-21 20:00:00","2017-04-22 22:57:00",26.95,0.5842,0.5334
"7x","D","C","1","2017-04-21 20:00:00","2017-04-22 22:57:00",26.95,2.5654,2.54
"7x","E","G","1","2017-04-21 20:00:00","2017-04-22 22:57:00",26.95,0.635,0.5588
"7x","E","C","1","2017-04-21 20:00:00","2017-04-22 22:57:00",26.95,2.5908,2.5908
"7x","E","L","1","2017-04-21 20:00:00","2017-04-22 22:57:00",26.95,2.794,2.7432
"7x","A","C","7","2017-04-25 15:20:00","2017-04-26 19:07:00",27.7833333333333,2.1336,2.032
"7x","A","G","7","2017-04-25 15:20:00","2017-04-26 19:07:00",27.7833333333333,1.2954,1.2192
"7x","A","L","7","2017-04-25 15:20:00","2017-04-26 19:07:00",27.7833333333333,1.9558,1.9558
"7x","D","G","4","2017-04-25 15:20:00","2017-04-26 19:11:00",27.85,1.6764,1.6256
"7x","D","C","4","2017-04-25 15:20:00","2017-04-26 19:11:00",27.85,1.9812,1.9304
"7x","E","G","3","2017-04-25 15:20:00","2017-04-26 19:11:00",27.85,1.7272,1.7526
"7x","E","L","3","2017-04-25 15:20:00","2017-04-26 19:11:00",27.85,1.6256,1.6002
"7x","E","C","3","2017-04-25 15:20:00","2017-04-26 19:11:00",27.85,2.0574,2.1082
"7x","B","C","6","2017-04-25 15:20:00","2017-04-26 19:16:00",27.9333333333333,2.0574,1.9812
"7x","B","G","6","2017-04-25 15:20:00","2017-04-26 19:16:00",27.9333333333333,1.8796,1.8796
"7x","B","L","6","2017-04-25 15:20:00","2017-04-26 19:16:00",27.9333333333333,2.286,2.3114
