"Proj","Pop","Treat","Isol","Rep_Well","Media","Time","Temp_C","OD600","cfu_ml"
"7x","A","L","A","1","50","0","26.7",0.0979,42698544.4153102
"7x","A","L","A","1","50","900","30",0.0964,37591613.8951639
"7x","A","L","A","1","50","1800","30",0.0969,39293924.068546
"7x","A","L","A","1","50","2700","30",0.0988,45762702.7273979
"7x","A","L","A","1","50","3600","30",0.1012,53933791.5596319
"7x","A","L","A","1","50","4500","30",0.1019,56317025.8023669
"7x","A","L","A","1","50","5400","30",0.1031,60402570.2184839
"7x","A","L","A","1","50","6300","30",0.1047,65849962.7733066
"7x","A","L","A","1","50","7200","30",0.1058,69595045.1547472
"7x","A","L","A","1","50","8100","30",0.1094,81851678.4030983
"7x","A","L","A","1","50","9000","30",0.1112,87979995.0272738
"7x","A","L","A","1","50","9900","30",0.115,100917552.344978
"7x","A","L","A","1","50","10800","30",0.12,117940654.078799
"7x","A","L","A","1","50","11700","30",0.1255,136666065.986002
"7x","A","L","A","1","50","12600","30",0.1327,161179332.482704
"7x","A","L","A","1","50","13500","30",0.1405,187735371.187464
"7x","A","L","A","1","50","14400","30",0.1525,228590815.348634
"7x","A","L","A","1","50","15300","30",0.1648,270467645.613834
"7x","A","L","A","1","50","16200","30",0.1769,311663551.809681
"7x","A","L","A","1","50","17100","30",0.1877,348433451.554734
"7x","A","L","A","1","50","18000","30",0.2037,402907377.102961
"7x","A","L","A","1","50","18900","30",0.2218,464531005.379392
"7x","A","L","A","1","50","19800","30",0.2394,524452323.482442
"7x","A","L","A","1","50","20700","30",0.2596,593225654.487078
"7x","A","L","A","1","50","21600","30",0.2886,691959644.54324
"7x","A","L","A","1","50","22500","30",0.3051,748135880.264849
"7x","A","L","A","1","50","23400","30",0.3252,816568749.234809
"7x","A","L","A","1","50","24300","30",0.3463,888406238.551533
"7x","A","L","A","1","50","25200","30",0.3627,944242012.238466
"7x","A","L","A","1","50","26100","30",0.3792,1000418247.96007
"7x","A","L","A","1","50","27000","30",0.3982,1065106034.54859
"7x","A","L","A","1","50","27900","30",0.4013,1075660357.62356
"7x","A","L","A","1","50","28800","30",0.4092,1102556858.363
"7x","A","L","A","1","50","29700","30",0.4157,1124686890.61697
"7x","A","L","A","1","50","30600","30",0.4195,1137624447.93467
"7x","A","L","A","1","50","31500","30",0.4254,1157711707.98058
"7x","A","L","A","1","50","32400","30",0.4335,1185289132.78937
"7x","A","L","A","1","50","33300","30",0.439,1204014544.69657
"7x","A","L","A","1","50","34200","30",0.4483,1235677513.92148
"7x","A","L","A","1","50","35100","30",0.4552,1259169394.31415
"7x","A","L","A","1","50","36000","30",0.4624,1283682660.81085
"7x","A","L","A","1","50","36900","30",0.4744,1324538104.97202
"7x","A","L","A","1","50","37800","30",0.4863,1365053087.09852
"7x","A","L","A","1","50","38700","30",0.5026,1420548398.75077
"7x","A","L","A","1","50","39600","30",0.5118,1451870905.94101
"7x","A","L","A","1","50","40500","30",0.5258,1499535590.7957
"7x","A","L","A","1","50","41400","30",0.5411,1551626282.1012
"7x","A","L","A","1","50","42300","30",0.5522,1589417567.95028
"7x","A","L","A","1","50","43200","30",0.5821,1691215716.31853
"7x","A","L","A","1","50","44100","30",0.5954,1736497166.93049
"7x","A","L","A","1","50","45000","30",0.6111,1789949706.37469
"7x","A","L","A","1","50","45900","30",0.6337,1866894126.21156
"7x","A","L","A","1","50","46800","30",0.6544,1937369767.38958
"7x","A","L","A","1","50","47700","30",0.6643,1971075508.82254
"7x","A","L","A","1","50","48600","30",0.6727,1999674319.73536
"7x","A","L","A","1","50","49500","30",0.6856,2043593922.20862
"7x","A","L","A","1","50","50400","30",0.7099,2126326196.63499
"7x","A","L","A","1","50","51300","30",0.7321,2201908768.33315
"7x","A","L","A","1","50","52200","30",0.7623,2304728302.80543
"7x","A","L","A","1","50","53100","30",0.7862,2386098729.0931
"7x","A","L","A","1","50","54000","30",0.8095,2465426383.1727
"7x","A","L","A","2","50","0","26.7",0.0946,31463297.2709884
"7x","A","L","A","2","50","900","30",0.0958,35548841.6871054
"7x","A","L","A","2","50","1800","30",0.0972,40315310.1725752
"7x","A","L","A","2","50","2700","30",0.0985,44741316.6233687
"7x","A","L","A","2","50","3600","30",0.1,49848247.143515
"7x","A","L","A","2","50","4500","30",0.1017,55636101.733014
"7x","A","L","A","2","50","5400","30",0.103,60062108.1838075
"7x","A","L","A","2","50","6300","30",0.1053,67892734.9813651
"7x","A","L","A","2","50","7200","30",0.1068,72999665.5015114
"7x","A","L","A","2","50","8100","30",0.1113,88320457.0619502
"7x","A","L","A","2","50","9000","30",0.1154,102279400.483683
"7x","A","L","A","2","50","9900","30",0.1189,114195571.697358
"7x","A","L","A","2","50","10800","30",0.1266,140411148.367442
"7x","A","L","A","2","50","11700","30",0.1319,158455636.205292
"7x","A","L","A","2","50","12600","30",0.1425,194544611.880993
"7x","A","L","A","2","50","13500","30",0.1534,231654973.660722
"7x","A","L","A","2","50","14400","30",0.1632,265020253.059011
"7x","A","L","A","2","50","15300","30",0.1766,310642165.705651
"7x","A","L","A","2","50","16200","30",0.1926,365116091.253878
"7x","A","L","A","2","50","17100","30",0.2067,413121238.143253
"7x","A","L","A","2","50","18000","30",0.2231,468957011.830186
"7x","A","L","A","2","50","18900","30",0.2403,527516481.79453
"7x","A","L","A","2","50","19800","30",0.2632,605482287.73543
"7x","A","L","A","2","50","20700","30",0.283,672893770.60136
"7x","A","L","A","2","50","21600","30",0.3026,739624329.397938
"7x","A","L","A","2","50","22500","30",0.3206,800907495.639693
"7x","A","L","A","2","50","23400","30",0.337,856743269.326626
"7x","A","L","A","2","50","24300","30",0.3512,905088878.250678
"7x","A","L","A","2","50","25200","30",0.3666,957520031.590846
"7x","A","L","A","2","50","26100","30",0.3716,974543133.324667
"7x","A","L","A","2","50","27000","30",0.3777,995311317.439928
"7x","A","L","A","2","50","27900","30",0.3813,1007567950.68828
"7x","A","L","A","2","50","28800","30",0.3845,1018462735.79792
"7x","A","L","A","2","50","29700","30",0.3886,1032421679.21966
"7x","A","L","A","2","50","30600","30",0.3936,1049444780.95348
"7x","A","L","A","2","50","31500","30",0.4006,1073277123.38083
"7x","A","L","A","2","50","32400","30",0.4069,1094726231.56544
"7x","A","L","A","2","50","33300","30",0.413,1115494415.6807
"7x","A","L","A","2","50","34200","30",0.417,1129112897.06776
"7x","A","L","A","2","50","35100","30",0.428,1166563720.88217
