"Proj","Pop","Treat","Timepoint","Isol","start_timestamp","end_timestamp","time_since_inoc","Width_cm","Height_cm"
"7x","C","C","14","A",2017-05-25 14:54:00,2017-05-26 14:58:00,24.0666666666667,1.85,1.88
"7x","C","L","14","A",2017-05-25 14:54:00,2017-05-26 14:58:00,24.0666666666667,1.77,1.81
"7x","D","C","14","A",2017-05-25 14:54:00,2017-05-26 15:01:00,24.1166666666667,1.85,1.88
"7x","D","G","14","A",2017-05-25 14:54:00,2017-05-26 15:01:00,24.1166666666667,2.88,2.93
"7x","A","C","14","A",2017-05-25 14:54:00,2017-05-26 15:04:00,24.1666666666667,1.79,1.81
"7x","A","G","14","A",2017-05-25 14:54:00,2017-05-26 15:04:00,24.1666666666667,1.77,1.79
"7x","A","L","14","A",2017-05-25 14:54:00,2017-05-26 15:04:00,24.1666666666667,1.69,1.75
"7x","B","C","14","A",2017-05-25 14:54:00,2017-05-26 15:08:00,24.2333333333333,1.89,1.91
"7x","B","G","14","A",2017-05-25 14:54:00,2017-05-26 15:08:00,24.2333333333333,1.92,1.98
"7x","B","L","14","A",2017-05-25 14:54:00,2017-05-26 15:08:00,24.2333333333333,1.77,1.8
"7x","E","C","14","A",2017-05-25 14:54:00,2017-05-26 15:11:00,24.2833333333333,1.74,1.81
"7x","E","G","14","A",2017-05-25 14:54:00,2017-05-26 15:11:00,24.2833333333333,1.67,1.66
"7x","E","L","14","A",2017-05-25 14:54:00,2017-05-26 15:11:00,24.2833333333333,2.36,2.45
"7x","D","G","14","B",2017-05-27 17:50:00,2017-05-28 17:53:00,24.05,2.54,2.61
"7x","E","G","14","B",2017-05-27 17:50:00,2017-05-28 17:53:00,24.05,1.63,1.62
"7x","E","L","14","B",2017-05-27 17:50:00,2017-05-28 17:53:00,24.05,2.34,2.41
"7x","D","C","14","B",2017-05-27 17:50:00,2017-05-28 17:53:00,24.05,1.91,1.91
"7x","E","C","14","B",2017-05-27 17:50:00,2017-05-28 17:53:00,24.05,1.74,1.81
"7x","B","C","14","B",2017-05-27 17:50:00,2017-05-28 17:55:00,24.0833333333333,2,2.04
"7x","C","C","14","B",2017-05-27 17:50:00,2017-05-28 17:55:00,24.0833333333333,1.85,1.85
"7x","C","L","14","B",2017-05-27 17:50:00,2017-05-28 17:55:00,24.0833333333333,1.8,1.84
"7x","B","G","14","B",2017-05-27 17:50:00,2017-05-28 17:55:00,24.0833333333333,1.91,1.93
"7x","B","L","14","B",2017-05-27 17:50:00,2017-05-28 17:55:00,24.0833333333333,1.87,1.85
"7x","A","L","14","B",2017-05-27 17:50:00,2017-05-28 17:58:00,24.1333333333333,1.95,1.94
"7x","Anc","Anc","0","Anc",2017-05-27 17:50:00,2017-05-28 17:58:00,24.1333333333333,1.41,1.44
"7x","A","G","14","B",2017-05-27 17:50:00,2017-05-28 17:58:00,24.1333333333333,1.73,1.77
"7x","A","C","14","B",2017-05-27 17:50:00,2017-05-28 17:58:00,24.1333333333333,1.72,1.76
"7x","A","G","14","C",2017-05-28 18:48:00,2017-05-29 18:54:00,24.1,1.8,1.81
"7x","Anc","Anc","0","Anc",2017-05-28 18:48:00,2017-05-29 18:54:00,24.1,1.37,1.46
"7x","A","C","14","C",2017-05-28 18:48:00,2017-05-29 18:54:00,24.1,1.91,1.88
"7x","A","L","14","C",2017-05-28 18:48:00,2017-05-29 18:54:00,24.1,1.76,1.73
"7x","D","G","14","C",2017-05-28 18:48:00,2017-05-29 18:56:00,24.1333333333333,2.74,2.76
"7x","E","G","14","C",2017-05-28 18:48:00,2017-05-29 18:56:00,24.1333333333333,1.66,1.65
"7x","E","L","14","C",2017-05-28 18:48:00,2017-05-29 18:56:00,24.1333333333333,2.4,2.45
"7x","D","C","14","C",2017-05-28 18:48:00,2017-05-29 18:56:00,24.1333333333333,1.85,1.89
"7x","E","C","14","C",2017-05-28 18:48:00,2017-05-29 18:56:00,24.1333333333333,1.63,1.59
"7x","C","L","14","C",2017-05-28 18:48:00,2017-05-29 18:59:00,24.1833333333333,1.85,1.87
"7x","B","C","14","C",2017-05-28 18:48:00,2017-05-29 18:59:00,24.1833333333333,1.9,1.96
"7x","B","L","14","C",2017-05-28 18:48:00,2017-05-29 18:59:00,24.1833333333333,1.79,1.84
"7x","C","C","14","C",2017-05-28 18:48:00,2017-05-29 18:59:00,24.1833333333333,1.67,1.71
"7x","B","G","14","C",2017-05-28 18:48:00,2017-05-29 18:59:00,24.1833333333333,2.02,2.1
"7x","A","C","14","D",2017-05-31 14:00:00,2017-06-01 14:04:00,24.0666666666667,1.66,1.68
"7x","A","L","14","D",2017-05-31 14:00:00,2017-06-01 14:04:00,24.0666666666667,1.8,1.86
