"Date","Proj","Pop","Treat","Timepoint","Isol","PFU","dilution","pfu_ml"
"2017-A","7x","A","L",14,"A","6",219780219.78022,1318681318.68132
"2017-A","7x","A","G",14,"A","0",219780219.78022,0
"2017-A","7x","A","C",14,"A","82",219780219.78022,18021978021.978
"2017-A","7x","B","L",14,"A","101",219780219.78022,22197802197.8022
"2017-A","7x","B","G",14,"A","0",219780219.78022,0
"2017-A","7x","B","C",14,"A","88",219780219.78022,19340659340.6593
"2017-A","7x","C","L",14,"A","61",219780219.78022,13406593406.5934
"2017-A","7x","C","C",14,"A","71",219780219.78022,15604395604.3956
"2017-A","7x","D","G",14,"A","0",219780219.78022,0
"2017-A","7x","D","C",14,"A","116",219780219.78022,25494505494.5055
"2017-A","7x","E","L",14,"A","85",219780219.78022,18681318681.3187
"2017-A","7x","E","G",14,"A","0",219780219.78022,0
"2017-A","7x","E","C",14,"A","100",219780219.78022,21978021978.022
"2017-A","7x","Anc","Anc",0,"Anc","100",219780219.78022,21978021978.022
"2017-B","7x","A","L",14,"B","6",219780219.78022,1318681318.68132
"2017-B","7x","A","G",14,"B","0",219780219.78022,0
"2017-B","7x","A","C",14,"B","63",219780219.78022,13846153846.1538
"2017-B","7x","B","L",14,"B","63",219780219.78022,13846153846.1538
"2017-B","7x","B","G",14,"B","0",219780219.78022,0
"2017-B","7x","B","C",14,"B","61",219780219.78022,13406593406.5934
"2017-B","7x","C","L",14,"B","23",219780219.78022,5054945054.94506
"2017-B","7x","C","C",14,"B","39",219780219.78022,8571428571.42857
"2017-B","7x","D","G",14,"B","2",219780219.78022,439560439.56044
"2017-B","7x","D","C",14,"B","88",219780219.78022,19340659340.6593
"2017-B","7x","E","L",14,"B","67",219780219.78022,14725274725.2747
"2017-B","7x","E","G",14,"B","0",219780219.78022,0
"2017-B","7x","E","C",14,"B","106",219780219.78022,23296703296.7033
"2017-B","7x","Anc","Anc",0,"Anc","93",219780219.78022,20439560439.5604
"2017-D","7x","A","L",14,"D","27",219780219.78022,5934065934.06593
"2017-D","7x","A","G",14,"D","0",219780219.78022,0
"2017-D","7x","A","C",14,"D","117",219780219.78022,25714285714.2857
"2017-D","7x","B","L",14,"D","141",219780219.78022,30989010989.011
"2017-D","7x","B","G",14,"D","0",219780219.78022,0
"2017-D","7x","B","C",14,"D","110",219780219.78022,24175824175.8242
"2017-D","7x","C","L",14,"D","88",219780219.78022,19340659340.6593
"2017-D","7x","C","C",14,"D","119",219780219.78022,26153846153.8462
"2017-D","7x","D","G",14,"D","0",219780219.78022,0
"2017-D","7x","D","C",14,"D","129",219780219.78022,28351648351.6484
"2017-D","7x","E","L",14,"D","99",219780219.78022,21758241758.2418
"2017-D","7x","E","G",14,"D","2",219780219.78022,439560439.56044
"2017-D","7x","E","C",14,"D","111",219780219.78022,24395604395.6044
"2017-D","7x","Anc","Anc",0,"Anc","95",219780219.78022,20879120879.1209
"2017-C","7x","A","L",14,"C","24",219780219.78022,5274725274.72528
"2017-C","7x","A","G",14,"C","0",219780219.78022,0
"2017-C","7x","A","C",14,"C","81",219780219.78022,17802197802.1978
"2017-C","7x","B","L",14,"C","85",219780219.78022,18681318681.3187
"2017-C","7x","B","G",14,"C","0",219780219.78022,0
"2017-C","7x","B","C",14,"C","88",219780219.78022,19340659340.6593
"2017-C","7x","C","L",14,"C","50",219780219.78022,10989010989.011
"2017-C","7x","C","C",14,"C","57",219780219.78022,12527472527.4725
"2017-C","7x","D","G",14,"C","0",219780219.78022,0
"2017-C","7x","D","C",14,"C","70",219780219.78022,15384615384.6154
"2017-C","7x","E","L",14,"C","65",219780219.78022,14285714285.7143
"2017-C","7x","E","G",14,"C","0",219780219.78022,0
"2017-C","7x","E","C",14,"C","69",219780219.78022,15164835164.8352
"2017-C","7x","Anc","Anc",0,"Anc","76",219780219.78022,16703296703.2967
"2017-E","7x","Anc","Anc",0,"Anc","91",219780219.78022,2e+10
"2017-E","7x","A","L",14,"E","39",219780219.78022,8571428571.42857
"2017-E","7x","A","G",14,"E","0",219780219.78022,0
"2017-E","7x","A","C",14,"E","101",219780219.78022,22197802197.8022
"2017-E","7x","B","L",14,"E","91",219780219.78022,2e+10
"2017-E","7x","B","G",14,"E","0",219780219.78022,0
