"Time_s","OD600","cfu_ml"
0,0.0996,48486399.0048093
900,0.0976,41677158.311281
1800,0.0987,45422240.6927215
2700,0.0993,47465012.90078
3600,0.1012,53933791.5596319
4500,0.1016,55295639.6983376
5400,0.1022,57338411.9063962
6300,0.1061,70616431.2587765
7200,0.109,80489830.2643926
8100,0.1111,87639532.9925974
9000,0.1164,105684020.830448
9900,0.1228,127473591.049738
10800,0.1299,151646395.511764
11700,0.1428,195565997.985022
12600,0.151,223483884.828488
13500,0.1622,261615632.712247
14400,0.1797,321196488.78062
15300,0.1999,389969819.785257
16200,0.2309,495513050.534946
17100,0.2615,599694433.14593
18000,0.2911,700471195.41015
18900,0.3219,805333502.090487
19800,0.3484,895555941.279738
20700,0.3741,983054684.191577
21600,0.4068,1094385769.53077
22500,0.4239,1152604777.46043
23400,0.4402,1208100089.11269
24300,0.4565,1263595400.76495
25200,0.4701,1309898237.48094
26100,0.4802,1344284902.98326
27000,0.4926,1386502195.28313
27900,0.5046,1427357639.4443
28800,0.5171,1469915393.77886
29700,0.5257,1499195128.76103
30600,0.5364,1535624566.4714
31500,0.5469,1571373080.11243
32400,0.5559,1602014663.23331
33300,0.5665,1638103638.90901
34200,0.5773,1674873538.65406
35100,0.5843,1698705881.08141
36000,0.5916,1723559609.61279
36900,0.6031,1762712743.60057
37800,0.6168,1809356042.35124
38700,0.631,1857701651.2753
39600,0.6462,1909451880.54611
40500,0.6643,1971075508.82254
41400,0.6833,2035763295.41106
42300,0.6965,2080704283.98835
43200,0.7131,2137220981.74464
44100,0.7276,2186587976.77272
45000,0.7451,2246168832.84109
45900,0.7567,2285662428.86355
46800,0.7672,2321410942.50458
47700,0.7801,2365330544.97784
48600,0.7904,2400398134.54951
49500,0.8013,2437508496.32924
50400,0.8114,2471895161.83155
51300,0.8201,2501515358.8484
52200,0.8369,2558712980.67404
53100,0.8455,2587992715.65621
54000,0.8559,2623400767.26256
