Cell_population,Cell2_population,relativeChi,relativeI,Chi,irate
1.2803e+12,1.4295e+12,100,1,315,1e-14
1.3285e+12,1.3418e+12,10,1,315,1e-14
1.3333e+12,1.3333e+12,1,1,315,1e-14
1.3338e+12,1.3325e+12,0.1,1,315,1e-14
1.3338e+12,1.3324e+12,0.01,1,315,1e-14
1.8188e+12,3.4203e+12,100,0.25,315,1e-14
1.8924e+12,2.9558e+12,10,0.25,315,1e-14
1.8994e+12,2.9131e+12,1,0.25,315,1e-14
1.9002e+12,2.9089e+12,0.1,0.25,315,1e-14
1.9002e+12,2.9084e+12,0.01,0.25,315,1e-14
9.9976e+11,8.7015e+11,100,2,315,1e-14
1.0333e+12,8.3611e+11,10,2,315,1e-14
1.0367e+12,8.3276e+11,1,2,315,1e-14
1.0371e+12,8.3243e+11,0.1,2,315,1e-14
1.0371e+12,8.3239e+11,0.01,2,315,1e-14
7.5997e+11,5.0459e+11,100,4,315,1e-14
7.8167e+11,4.9211e+11,10,4,315,1e-14
7.8385e+11,4.9087e+11,1,4,315,1e-14
7.8407e+11,4.9075e+11,0.1,4,315,1e-14
7.8409e+11,4.9074e+11,0.01,4,315,1e-14
1.5663e+12,2.2426e+12,100,0.5,315,1e-14
1.6285e+12,2.0342e+12,10,0.5,315,1e-14
1.6346e+12,2.0144e+12,1,0.5,315,1e-14
1.6352e+12,2.0124e+12,0.1,0.5,315,1e-14
1.6353e+12,2.0122e+12,0.01,0.5,315,1e-14
