Cell_population,Cell2_population,relativeChi,relativeI,Chi,irate
4.14E+11,4.66E+11,100,1,315,1.00E-14
4.36E+11,4.40E+11,10,1,315,1.00E-14
4.38E+11,4.38E+11,1,1,315,1.00E-14
4.38E+11,4.38E+11,0.1,1,315,1.00E-14
4.38E+11,4.38E+11,0.01,1,315,1.00E-14
6.30E+11,1.10E+12,100,0.25,315,1.00E-14
6.57E+11,9.74E+11,10,0.25,315,1.00E-14
6.59E+11,9.62E+11,1,0.25,315,1.00E-14
6.60E+11,9.60E+11,0.1,0.25,315,1.00E-14
6.60E+11,9.60E+11,0.01,0.25,315,1.00E-14
3.08E+11,2.78E+11,100,2,315,1.00E-14
3.22E+11,2.69E+11,10,2,315,1.00E-14
3.23E+11,2.68E+11,1,2,315,1.00E-14
3.24E+11,2.68E+11,0.1,2,315,1.00E-14
3.24E+11,2.68E+11,0.01,2,315,1.00E-14
2.24E+11,1.55E+11,100,4,315,1.00E-14
2.32E+11,1.53E+11,10,4,315,1.00E-14
2.33E+11,1.53E+11,1,4,315,1.00E-14
2.33E+11,1.53E+11,0.1,4,315,1.00E-14
2.33E+11,1.53E+11,0.01,4,315,1.00E-14
5.28E+11,7.33E+11,100,0.5,315,1.00E-14
5.54E+11,6.70E+11,10,0.5,315,1.00E-14
5.57E+11,6.64E+11,1,0.5,315,1.00E-14
5.57E+11,6.63E+11,0.1,0.5,315,1.00E-14
5.57E+11,6.63E+11,0.01,0.5,315,1.00E-14
