Cell_population,Cell2_population,relativeY,relativeI,Y,irate
4.4302e+11,4.4302e+11,1,1,1.229e+10,1e-14
3.8562e+07,1.3189e+12,2,1,1.229e+10,1e-14
8.8814e+11,8.2536e+07,0.25,1,1.229e+10,1e-14
3.5099e+07,1.9416e+12,4,1,1.229e+10,1e-14
8.8717e+11,1.2634e+09,0.5,1,1.229e+10,1e-14
6.6506e+11,9.804e+11,1,0.25,1.229e+10,1e-14
8.4334e+06,5.6093e+12,2,0.25,1.229e+10,1e-14
8.8717e+11,7.5618e+07,0.25,0.25,1.229e+10,1e-14
49458,8.233e+12,4,0.25,1.229e+10,1e-14
8.8686e+11,1.9512e+09,0.5,0.25,1.229e+10,1e-14
3.2848e+11,2.7112e+11,1,2,1.229e+10,1e-14
4.2122e+07,6.3888e+11,2,2,1.229e+10,1e-14
8.8921e+11,5.7224e+07,0.25,2,1.229e+10,1e-14
3.9726e+07,9.4178e+11,4,2,1.229e+10,1e-14
8.874e+11,1.0569e+09,0.5,2,1.229e+10,1e-14
2.3729e+11,1.5418e+11,1,4,1.229e+10,1e-14
4.5628e+07,3.0922e+11,2,4,1.229e+10,1e-14
8.9095e+11,4.2571e+07,0.25,4,1.229e+10,1e-14
4.3941e+07,4.5641e+11,4,4,1.229e+10,1e-14
8.8745e+11,8.9652e+08,0.5,4,1.229e+10,1e-14
5.6203e+11,6.7395e+11,1,0.5,1.229e+10,1e-14
4.6027e+06,2.7207e+12,2,0.5,1.229e+10,1e-14
8.8749e+11,5.5753e+07,0.25,0.5,1.229e+10,1e-14
69752,3.9995e+12,4,0.5,1.229e+10,1e-14
8.8696e+11,1.4952e+09,0.5,0.5,1.229e+10,1e-14
