Cell_population,Cell2_population,relativecA,relativeI,cA,irate
1.3331e+12,1.3331e+12,0.25,1,4.17e-16,1e-14
1.3339e+12,1.3339e+12,4,1,4.17e-16,1e-14
1.3332e+12,1.3332e+12,0.5,1,4.17e-16,1e-14
1.3333e+12,1.3333e+12,1,1,4.17e-16,1e-14
1.3335e+12,1.3335e+12,2,1,4.17e-16,1e-14
1.8989e+12,2.9124e+12,0.25,0.25,4.17e-16,1e-14
1.9017e+12,2.9157e+12,4,0.25,4.17e-16,1e-14
1.8991e+12,2.9127e+12,0.5,0.25,4.17e-16,1e-14
1.8994e+12,2.9131e+12,1,0.25,4.17e-16,1e-14
1.9002e+12,2.914e+12,2,0.25,4.17e-16,1e-14
1.0367e+12,8.327e+11,0.25,2,4.17e-16,1e-14
1.037e+12,8.3301e+11,4,2,4.17e-16,1e-14
1.0367e+12,8.3272e+11,0.5,2,4.17e-16,1e-14
1.0367e+12,8.3276e+11,1,2,4.17e-16,1e-14
1.0368e+12,8.3285e+11,2,2,4.17e-16,1e-14
7.8383e+11,4.9085e+11,0.25,4,4.17e-16,1e-14
7.8395e+11,4.9096e+11,4,4,4.17e-16,1e-14
7.8384e+11,4.9086e+11,0.5,4,4.17e-16,1e-14
7.8385e+11,4.9087e+11,1,4,4.17e-16,1e-14
7.8389e+11,4.909e+11,2,4,4.17e-16,1e-14
1.6343e+12,2.014e+12,0.25,0.5,4.17e-16,1e-14
1.6358e+12,2.0157e+12,4,0.5,4.17e-16,1e-14
1.6344e+12,2.0142e+12,0.5,0.5,4.17e-16,1e-14
1.6346e+12,2.0144e+12,1,0.5,4.17e-16,1e-14
1.635e+12,2.0148e+12,2,0.5,4.17e-16,1e-14
