Cell_population,Cell2_population,relativecA,relativeI,cA,irate
4.38E+11,4.38E+11,0.25,1,4.17E-16,1.00E-14
4.38E+11,4.38E+11,4,1,4.17E-16,1.00E-14
4.38E+11,4.38E+11,0.5,1,4.17E-16,1.00E-14
4.38E+11,4.38E+11,1,1,4.17E-16,1.00E-14
4.38E+11,4.38E+11,2,1,4.17E-16,1.00E-14
6.59E+11,9.62E+11,0.25,0.25,4.17E-16,1.00E-14
6.60E+11,9.62E+11,4,0.25,4.17E-16,1.00E-14
6.59E+11,9.62E+11,0.5,0.25,4.17E-16,1.00E-14
6.59E+11,9.62E+11,1,0.25,4.17E-16,1.00E-14
6.59E+11,9.62E+11,2,0.25,4.17E-16,1.00E-14
3.23E+11,2.68E+11,0.25,2,4.17E-16,1.00E-14
3.24E+11,2.68E+11,4,2,4.17E-16,1.00E-14
3.23E+11,2.68E+11,0.5,2,4.17E-16,1.00E-14
3.23E+11,2.68E+11,1,2,4.17E-16,1.00E-14
3.23E+11,2.68E+11,2,2,4.17E-16,1.00E-14
2.33E+11,1.53E+11,0.25,4,4.17E-16,1.00E-14
2.33E+11,1.53E+11,4,4,4.17E-16,1.00E-14
2.33E+11,1.53E+11,0.5,4,4.17E-16,1.00E-14
2.33E+11,1.53E+11,1,4,4.17E-16,1.00E-14
2.33E+11,1.53E+11,2,4,4.17E-16,1.00E-14
5.57E+11,6.64E+11,0.25,0.5,4.17E-16,1.00E-14
5.57E+11,6.64E+11,4,0.5,4.17E-16,1.00E-14
5.57E+11,6.64E+11,0.5,0.5,4.17E-16,1.00E-14
5.57E+11,6.64E+11,1,0.5,4.17E-16,1.00E-14
5.57E+11,6.64E+11,2,0.5,4.17E-16,1.00E-14
