Cell_population,Cell2_population,relativecR,relativeI,cR,irate
2.5408e+12,3.5501e+09,0.5,1,2.25e-14,1e-14
1.3333e+12,1.3333e+12,1,1,2.25e-14,1e-14
5.1912e+07,7.8251e+12,2,1,2.25e-14,1e-14
2.5474e+12,1.6805e+08,0.25,1,2.25e-14,1e-14
3.6724e+07,2.3178e+13,4,1,2.25e-14,1e-14
2.5582e+12,5.9445e+09,0.5,0.25,2.25e-14,1e-14
1.8994e+12,2.9131e+12,1,0.25,2.25e-14,1e-14
4.8404e+07,3.0234e+13,2,0.25,2.25e-14,1e-14
2.5609e+12,4.7415e+08,0.25,0.25,2.25e-14,1e-14
49757,9.0854e+13,4,0.25,2.25e-14,1e-14
2.5258e+12,2.8228e+09,0.5,2,2.25e-14,1e-14
1.0367e+12,8.3276e+11,1,2,2.25e-14,1e-14
5e+07,3.9783e+12,2,2,2.25e-14,1e-14
2.5358e+12,1.2329e+08,0.25,2,2.25e-14,1e-14
4.1281e+07,1.1702e+13,4,2,2.25e-14,1e-14
2.5064e+12,2.2137e+09,0.5,4,2.25e-14,1e-14
7.8385e+11,4.9087e+11,1,4,2.25e-14,1e-14
5.0271e+07,2.0213e+12,2,4,2.25e-14,1e-14
2.5213e+12,9.2061e+07,0.25,4,2.25e-14,1e-14
4.5115e+07,5.9072e+12,4,4,2.25e-14,1e-14
2.5513e+12,4.4134e+09,0.5,0.5,2.25e-14,1e-14
1.6346e+12,2.0144e+12,1,0.5,2.25e-14,1e-14
2.6827e+07,1.5383e+13,2,0.5,2.25e-14,1e-14
2.5555e+12,1.6456e+08,0.25,0.5,2.25e-14,1e-14
71214,4.5901e+13,4,0.5,2.25e-14,1e-14
