Cell_population,Cell2_population,relativecR,relativeI,cR,irate
8.69E+11,8.70E+09,0.5,1,2.25E-14,1.00E-14
4.38E+11,4.38E+11,1,1,2.25E-14,1.00E-14
1.74E+08,1.31E+12,2,1,2.25E-14,1.00E-14
8.79E+11,9.19E+08,0.25,1,2.25E-14,1.00E-14
4.24E+07,1.94E+12,4,1,2.25E-14,1.00E-14
8.74E+11,1.37E+10,0.5,0.25,2.25E-14,1.00E-14
6.59E+11,9.62E+11,1,0.25,2.25E-14,1.00E-14
4.39E+08,5.60E+12,2,0.25,2.25E-14,1.00E-14
8.77E+11,1.41E+09,0.25,0.25,2.25E-14,1.00E-14
74547,8.24E+12,4,0.25,2.25E-14,1.00E-14
8.63E+11,7.32E+09,0.5,2,2.25E-14,1.00E-14
3.23E+11,2.68E+11,1,2,2.25E-14,1.00E-14
1.26E+08,6.36E+11,2,2,2.25E-14,1.00E-14
8.80E+11,7.68E+08,0.25,2,2.25E-14,1.00E-14
4.90E+07,9.41E+11,4,2,2.25E-14,1.00E-14
8.51E+11,6.14E+09,0.5,4,2.25E-14,1.00E-14
2.33E+11,1.53E+11,1,4,2.25E-14,1.00E-14
1.04E+08,3.08E+11,2,4,2.25E-14,1.00E-14
8.83E+11,6.54E+08,0.25,4,2.25E-14,1.00E-14
5.52E+07,4.56E+11,4,4,2.25E-14,1.00E-14
8.72E+11,1.05E+10,0.5,0.5,2.25E-14,1.00E-14
5.57E+11,6.64E+11,1,0.5,2.25E-14,1.00E-14
2.36E+08,2.71E+12,2,0.5,2.25E-14,1.00E-14
8.78E+11,1.06E+09,0.25,0.5,2.25E-14,1.00E-14
1.01E+05,4.00E+12,4,0.5,2.25E-14,1.00E-14
