Cell_population,Cell2_population,relativecA,relativeI,Chi,irate
1.6008e+11,6.7325e+09,0.42,100,315,1e-14
1.5999e+11,6.7337e+09,5.62,100,315,1e-14
1.6007e+11,6.7326e+09,1,100,315,1e-14
1.6009e+11,6.7324e+09,0.18,100,315,1e-14
1.6005e+11,6.733e+09,2.37,100,315,1e-14
1.6688e+11,6.7523e+10,0.42,10,315,1e-14
1.6632e+11,6.7581e+10,5.62,10,315,1e-14
1.6682e+11,6.7529e+10,1,10,315,1e-14
1.6691e+11,6.752e+10,0.18,10,315,1e-14
1.6667e+11,6.7544e+10,2.37,10,315,1e-14
4.4749e+11,4.465e+11,0.42,1,315,1e-14
4.4317e+11,4.5109e+11,5.62,1,315,1e-14
4.4701e+11,4.4701e+11,1,1,315,1e-14
4.4769e+11,4.4629e+11,0.18,1,315,1e-14
4.4587e+11,4.4822e+11,2.37,1,315,1e-14
7.6667e+11,1.6627e+12,0.42,0.1,315,1e-14
7.6181e+11,1.721e+12,5.62,0.1,315,1e-14
7.6614e+11,1.6691e+12,1,0.1,315,1e-14
7.6689e+11,1.66e+12,0.18,0.1,315,1e-14
7.6487e+11,1.6843e+12,2.37,0.1,315,1e-14
8.6577e+11,1.3709e+13,0.42,0.01,315,1e-14
8.6009e+11,1.4561e+13,5.62,0.01,315,1e-14
8.6519e+11,1.3797e+13,1,0.01,315,1e-14
8.6601e+11,1.3673e+13,0.18,0.01,315,1e-14
8.6378e+11,1.4011e+13,2.37,0.01,315,1e-14
