Cell_population,Cell2_population,relativecA,relativeI,Y,irate
4.5478e+11,3.6782e+09,0.84,100,1.229e+10,1e-14
1.5996e+11,6.6795e+09,1,100,1.229e+10,1e-14
9.4731e+10,7.8024e+09,1.19,100,1.229e+10,1e-14
7.6809e+10,8.6247e+09,1.41,100,1.229e+10,1e-14
7.9101e+11,8.384e+08,0.71,100,1.229e+10,1e-14
6.7742e+11,1.8782e+10,0.84,10,1.229e+10,1e-14
1.6671e+11,6.7471e+10,1,10,1.229e+10,1e-14
8.9471e+09,8.792e+10,1.19,10,1.229e+10,1e-14
1.7596e+08,9.7464e+10,1.41,10,1.229e+10,1e-14
8.7017e+11,2.3416e+09,0.71,10,1.229e+10,1e-14
8.4699e+11,4.4355e+10,0.84,1,1.229e+10,1e-14
4.469e+11,4.469e+11,1,1,1.229e+10,1e-14
2.8833e+10,9.5718e+11,1.19,1,1.229e+10,1e-14
5.6744e+08,1.0872e+12,1.41,1,1.229e+10,1e-14
8.9067e+11,4.2465e+09,0.71,1,1.229e+10,1e-14
8.8568e+11,1.3135e+11,0.84,0.1,1.229e+10,1e-14
7.6602e+11,1.6682e+12,1,0.1,1.229e+10,1e-14
1.6772e+11,9.0051e+12,1.19,0.1,1.229e+10,1e-14
4.1577e+09,1.1996e+13,1.41,0.1,1.229e+10,1e-14
8.9363e+11,1.273e+10,0.71,0.1,1.229e+10,1e-14
8.9267e+11,7.6045e+12,0.84,0.01,1.229e+10,1e-14
8.6508e+11,1.3788e+13,1,0.01,1.229e+10,1e-14
5.2544e+11,5.7894e+13,1.19,0.01,1.229e+10,1e-14
3.2313e+10,1.2932e+14,1.41,0.01,1.229e+10,1e-14
8.9426e+11,5.3945e+12,0.71,0.01,1.229e+10,1e-14
