Cell_population,Cell2_population,relativecA,relativeI,cA,irate
1.6007e+11,6.7326e+09,0.44,100,4.17e-16,1e-14
1.6007e+11,6.7326e+09,0.67,100,4.17e-16,1e-14
1.6007e+11,6.7326e+09,1,100,4.17e-16,1e-14
1.6007e+11,6.7326e+09,1.5,100,4.17e-16,1e-14
1.6007e+11,6.7327e+09,2.25,100,4.17e-16,1e-14
1.6682e+11,6.7529e+10,0.44,10,4.17e-16,1e-14
1.6682e+11,6.7529e+10,0.67,10,4.17e-16,1e-14
1.6682e+11,6.7529e+10,1,10,4.17e-16,1e-14
1.6682e+11,6.7529e+10,1.5,10,4.17e-16,1e-14
1.6682e+11,6.753e+10,2.25,10,4.17e-16,1e-14
4.47e+11,4.47e+11,0.44,1,4.17e-16,1e-14
4.47e+11,4.47e+11,0.67,1,4.17e-16,1e-14
4.4701e+11,4.4701e+11,1,1,4.17e-16,1e-14
4.4702e+11,4.4702e+11,1.5,1,4.17e-16,1e-14
4.4704e+11,4.4704e+11,2.25,1,4.17e-16,1e-14
7.6605e+11,1.6689e+12,0.44,0.1,4.17e-16,1e-14
7.6609e+11,1.669e+12,0.67,0.1,4.17e-16,1e-14
7.6614e+11,1.6691e+12,1,0.1,4.17e-16,1e-14
7.6622e+11,1.6692e+12,1.5,0.1,4.17e-16,1e-14
7.6633e+11,1.6694e+12,2.25,0.1,4.17e-16,1e-14
8.6468e+11,1.3779e+13,0.44,0.01,4.17e-16,1e-14
8.6489e+11,1.3786e+13,0.67,0.01,4.17e-16,1e-14
8.6519e+11,1.3797e+13,1,0.01,4.17e-16,1e-14
8.6566e+11,1.3813e+13,1.5,0.01,4.17e-16,1e-14
8.6636e+11,1.3837e+13,2.25,0.01,4.17e-16,1e-14
