Cell_population,Cell2_population,relativeY,relativeI,Y,irate
2.5651e+12,2.0115e+10,0.84,100,1.229e+10,1e-14
4.2496e+11,5.0212e+10,1,100,1.229e+10,1e-14
3.0363e+10,7.0504e+10,1.19,100,1.229e+10,1e-14
1.6449e+09,9.2268e+10,1.41,100,1.229e+10,1e-14
4.2721e+12,3.2269e+09,0.71,100,1.229e+10,1e-14
3.6993e+12,9.39e+10,0.84,10,1.229e+10,1e-14
9.0537e+11,4.2518e+11,1,10,1.229e+10,1e-14
4.1568e+10,6.6945e+11,1.19,10,1.229e+10,1e-14
8.6495e+08,8.8302e+11,1.41,10,1.229e+10,1e-14
4.5745e+12,1.0708e+10,0.71,10,1.229e+10,1e-14
4.5125e+12,2.3632e+11,0.84,1,1.229e+10,1e-14
2.4678e+12,2.4678e+12,1,1,1.229e+10,1e-14
1.8541e+11,6.1545e+12,1.19,1,1.229e+10,1e-14
4.373e+09,8.3759e+12,1.41,1,1.229e+10,1e-14
4.7402e+12,2.2601e+10,0.71,1,1.229e+10,1e-14
4.744e+12,5.0441e+11,0.84,0.1,1.229e+10,1e-14
4.0878e+12,7.7339e+12,1,0.1,1.229e+10,1e-14
9.0652e+11,4.9612e+13,1.19,0.1,1.229e+10,1e-14
2.7778e+10,7.8848e+13,1.41,0.1,1.229e+10,1e-14
4.7892e+12,4.6916e+10,0.71,0.1,1.229e+10,1e-14
4.7938e+12,3.4572e+12,0.84,0.01,1.229e+10,1e-14
4.6407e+12,2.5313e+13,1,0.01,1.229e+10,1e-14
2.7182e+12,2.7307e+14,1.19,0.01,1.229e+10,1e-14
1.8458e+11,7.5265e+14,1.41,0.01,1.229e+10,1e-14
4.8019e+12,1.2548e+12,0.71,0.01,1.229e+10,1e-14
