Cell_population,Cell2_population,relativeY,relativeI,Y,irate
4.5489e+11,3.7314e+09,0.84,100,1.229e+10,1e-14
1.6007e+11,6.7326e+09,1,100,1.229e+10,1e-14
9.4842e+10,7.8555e+09,1.19,100,1.229e+10,1e-14
7.692e+10,8.6778e+09,1.41,100,1.229e+10,1e-14
7.9112e+11,8.9151e+08,0.71,100,1.229e+10,1e-14
6.7753e+11,1.884e+10,0.84,10,1.229e+10,1e-14
1.6682e+11,6.7529e+10,1,10,1.229e+10,1e-14
9.0579e+09,8.7978e+10,1.19,10,1.229e+10,1e-14
2.8667e+08,9.7522e+10,1.41,10,1.229e+10,1e-14
8.7029e+11,2.3993e+09,0.71,10,1.229e+10,1e-14
8.4711e+11,4.4469e+10,0.84,1,1.229e+10,1e-14
4.4701e+11,4.4701e+11,1,1,1.229e+10,1e-14
2.8946e+10,9.573e+11,1.19,1,1.229e+10,1e-14
6.8e+08,1.0873e+12,1.41,1,1.229e+10,1e-14
8.9079e+11,4.3601e+09,0.71,1,1.229e+10,1e-14
8.858e+11,1.3218e+11,0.84,0.1,1.229e+10,1e-14
7.6614e+11,1.6691e+12,1,0.1,1.229e+10,1e-14
1.6784e+11,9.0059e+12,1.19,0.1,1.229e+10,1e-14
4.2763e+09,1.1997e+13,1.41,0.1,1.229e+10,1e-14
8.9375e+11,1.3565e+10,0.71,0.1,1.229e+10,1e-14
8.9279e+11,7.614e+12,0.84,0.01,1.229e+10,1e-14
8.6519e+11,1.3797e+13,1,0.01,1.229e+10,1e-14
5.2555e+11,5.7902e+13,1.19,0.01,1.229e+10,1e-14
3.2418e+10,1.2932e+14,1.41,0.01,1.229e+10,1e-14
8.9438e+11,5.4095e+12,0.71,0.01,1.229e+10,1e-14
2.5652e+12,2.0168e+10,0.84,100,1.229e+10,1e-14
4.2507e+11,5.0265e+10,1,100,1.229e+10,1e-14
3.0473e+10,7.0557e+10,1.19,100,1.229e+10,1e-14
1.7552e+09,9.2321e+10,1.41,100,1.229e+10,1e-14
4.2723e+12,3.28e+09,0.71,100,1.229e+10,1e-14
3.6994e+12,9.3958e+10,0.84,10,1.229e+10,1e-14
9.0549e+11,4.2524e+11,1,10,1.229e+10,1e-14
4.1679e+10,6.6951e+11,1.19,10,1.229e+10,1e-14
9.7582e+08,8.8308e+11,1.41,10,1.229e+10,1e-14
4.5746e+12,1.0766e+10,0.71,10,1.229e+10,1e-14
4.5126e+12,2.3644e+11,0.84,1,1.229e+10,1e-14
2.4679e+12,2.4679e+12,1,1,1.229e+10,1e-14
1.8552e+11,6.1547e+12,1.19,1,1.229e+10,1e-14
4.4884e+09,8.376e+12,1.41,1,1.229e+10,1e-14
4.7403e+12,2.2717e+10,0.71,1,1.229e+10,1e-14
4.7441e+12,5.0533e+11,0.84,0.1,1.229e+10,1e-14
4.0879e+12,7.7348e+12,1,0.1,1.229e+10,1e-14
9.0664e+11,4.9613e+13,1.19,0.1,1.229e+10,1e-14
2.7903e+10,7.8849e+13,1.41,0.1,1.229e+10,1e-14
4.7893e+12,4.783e+10,0.71,0.1,1.229e+10,1e-14
4.794e+12,3.4672e+12,0.84,0.01,1.229e+10,1e-14
4.6409e+12,2.5322e+13,1,0.01,1.229e+10,1e-14
2.7183e+12,2.7308e+14,1.19,0.01,1.229e+10,1e-14
1.8469e+11,7.5266e+14,1.41,0.01,1.229e+10,1e-14
4.8021e+12,1.2661e+12,0.71,0.01,1.229e+10,1e-14
