Cell_population,Cell2_population,relativecA,relativeI,cA,irate
4.2496e+11,5.0212e+10,0.44,100,4.17e-16,1e-14
4.2496e+11,5.0212e+10,0.67,100,4.17e-16,1e-14
4.2496e+11,5.0212e+10,1,100,4.17e-16,1e-14
4.2496e+11,5.0212e+10,1.5,100,4.17e-16,1e-14
4.2496e+11,5.0212e+10,2.25,100,4.17e-16,1e-14
9.0536e+11,4.2517e+11,0.44,10,4.17e-16,1e-14
9.0536e+11,4.2517e+11,0.67,10,4.17e-16,1e-14
9.0537e+11,4.2518e+11,1,10,4.17e-16,1e-14
9.0539e+11,4.2519e+11,1.5,10,4.17e-16,1e-14
9.0542e+11,4.2521e+11,2.25,10,4.17e-16,1e-14
2.4674e+12,2.4674e+12,0.44,1,4.17e-16,1e-14
2.4676e+12,2.4676e+12,0.67,1,4.17e-16,1e-14
2.4678e+12,2.4678e+12,1,1,4.17e-16,1e-14
2.4682e+12,2.4682e+12,1.5,1,4.17e-16,1e-14
2.4688e+12,2.4688e+12,2.25,1,4.17e-16,1e-14
4.085e+12,7.7297e+12,0.44,0.1,4.17e-16,1e-14
4.0862e+12,7.7314e+12,0.67,0.1,4.17e-16,1e-14
4.0878e+12,7.7339e+12,1,0.1,4.17e-16,1e-14
4.0903e+12,7.7376e+12,1.5,0.1,4.17e-16,1e-14
4.094e+12,7.7432e+12,2.25,0.1,4.17e-16,1e-14
4.6275e+12,2.5232e+13,0.44,0.01,4.17e-16,1e-14
4.6329e+12,2.5265e+13,0.67,0.01,4.17e-16,1e-14
4.6407e+12,2.5313e+13,1,0.01,4.17e-16,1e-14
4.6527e+12,2.5385e+13,1.5,0.01,4.17e-16,1e-14
4.671e+12,2.5496e+13,2.25,0.01,4.17e-16,1e-14
