Cell_population,Cell2_population,relativecR,relativeI,cR,irate
4.4569e+12,1.6782e+09,0.67,100,2.25e-14,1e-14
4.2507e+11,5.0265e+10,1,100,2.25e-14,1e-14
1.15e+09,1.0169e+11,1.5,100,2.25e-14,1e-14
6.6662e+08,1.9017e+11,2.25,100,2.25e-14,1e-14
4.6568e+12,7.8415e+07,0.44,100,2.25e-14,1e-14
4.6391e+12,5.2658e+09,0.67,10,2.25e-14,1e-14
9.0549e+11,4.2524e+11,1,10,2.25e-14,1e-14
2.8614e+08,9.7407e+11,1.5,10,2.25e-14,1e-14
1.1084e+08,1.8373e+12,2.25,10,2.25e-14,1e-14
4.7065e+12,1.3465e+08,0.44,10,2.25e-14,1e-14
4.7544e+12,1.096e+10,0.67,1,2.25e-14,1e-14
2.4679e+12,2.4679e+12,1,1,2.25e-14,1e-14
1.0361e+09,9.2617e+12,1.5,1,2.25e-14,1e-14
1.1511e+08,1.7689e+13,2.25,1,2.25e-14,1e-14
4.7705e+12,2.7244e+08,0.44,1,2.25e-14,1e-14
4.792e+12,2.3403e+10,0.67,0.1,2.25e-14,1e-14
4.0879e+12,7.7348e+12,1,0.1,2.25e-14,1e-14
6.2358e+09,8.7654e+13,1.5,0.1,2.25e-14,1e-14
1.2359e+08,1.704e+14,2.25,0.1,2.25e-14,1e-14
4.7952e+12,1.2419e+09,0.44,0.1,2.25e-14,1e-14
4.8025e+12,1.0986e+12,0.67,0.01,2.25e-14,1e-14
4.6409e+12,2.5322e+13,1,0.01,2.25e-14,1e-14
4.8022e+10,8.0288e+14,1.5,0.01,2.25e-14,1e-14
9.5367e+07,1.5265e+15,2.25,0.01,2.25e-14,1e-14
4.8014e+12,1.048e+12,0.44,0.01,2.25e-14,1e-14
