Cell_population,Cell2_population,relativeChi,relativeI,Chi,irate
2.9806e+11,7.0491e+06,0.42,100,315,1e-14
2.9805e+11,7.0674e+06,5.62,100,315,1e-14
2.9806e+11,7.0512e+06,1,100,315,1e-14
2.9806e+11,7.0483e+06,0.18,100,315,1e-14
2.9806e+11,7.056e+06,2.37,100,315,1e-14
1.7416e+11,1.0218e+10,0.42,10,315,1e-14
1.7403e+11,1.0229e+10,5.62,10,315,1e-14
1.7414e+11,1.0219e+10,1,10,315,1e-14
1.7416e+11,1.0218e+10,0.18,10,315,1e-14
1.7411e+11,1.0222e+10,2.37,10,315,1e-14
1.4866e+11,1.4854e+11,0.42,1,315,1e-14
1.4814e+11,1.4908e+11,5.62,1,315,1e-14
1.486e+11,1.486e+11,1,1,315,1e-14
1.4868e+11,1.4851e+11,0.18,1,315,1e-14
1.4846e+11,1.4874e+11,2.37,1,315,1e-14
2.2638e+11,1.3502e+12,0.42,0.1,315,1e-14
2.2512e+11,1.3672e+12,5.62,0.1,315,1e-14
2.2624e+11,1.3521e+12,1,0.1,315,1e-14
2.2643e+11,1.3494e+12,0.18,0.1,315,1e-14
2.2591e+11,1.3565e+12,2.37,0.1,315,1e-14
2.7332e+11,1.8385e+13,0.42,0.01,315,1e-14
2.6844e+11,1.9154e+13,5.62,0.01,315,1e-14
2.7283e+11,1.8465e+13,1,0.01,315,1e-14
2.7353e+11,1.8353e+13,0.18,0.01,315,1e-14
2.716e+11,1.8659e+13,2.37,0.01,315,1e-14
