Cell_population,Cell2_population,relativeChi,relativeI,Chi,irate
2.9817e+11,6.0162e+07,0.42,100,315,1e-14
2.9816e+11,6.018e+07,5.62,100,315,1e-14
2.9817e+11,6.0164e+07,1,100,315,1e-14
2.9817e+11,6.0161e+07,0.18,100,315,1e-14
2.9817e+11,6.0168e+07,2.37,100,315,1e-14
1.7427e+11,1.0276e+10,0.42,10,315,1e-14
1.7414e+11,1.0287e+10,5.62,10,315,1e-14
1.7425e+11,1.0277e+10,1,10,315,1e-14
1.7427e+11,1.0275e+10,0.18,10,315,1e-14
1.7422e+11,1.028e+10,2.37,10,315,1e-14
1.4877e+11,1.4865e+11,0.42,1,315,1e-14
1.4825e+11,1.492e+11,5.62,1,315,1e-14
1.4871e+11,1.4871e+11,1,1,315,1e-14
1.4879e+11,1.4863e+11,0.18,1,315,1e-14
1.4858e+11,1.4886e+11,2.37,1,315,1e-14
2.265e+11,1.3511e+12,0.42,0.1,315,1e-14
2.2524e+11,1.368e+12,5.62,0.1,315,1e-14
2.2636e+11,1.3529e+12,1,0.1,315,1e-14
2.2656e+11,1.3503e+12,0.18,0.1,315,1e-14
2.2603e+11,1.3574e+12,2.37,0.1,315,1e-14
2.7344e+11,1.8395e+13,0.42,0.01,315,1e-14
2.6856e+11,1.9163e+13,5.62,0.01,315,1e-14
2.7294e+11,1.8474e+13,1,0.01,315,1e-14
2.7364e+11,1.8362e+13,0.18,0.01,315,1e-14
2.7172e+11,1.8668e+13,2.37,0.01,315,1e-14
