Cell_population,Cell2_population,relativeY,relativeI,Y,irate
2.993e+11,5.3533e+07,0.84,100,1.229e+10,1e-14
2.9817e+11,6.0164e+07,1,100,1.229e+10,1e-14
2.7982e+11,1.8987e+08,1.19,100,1.229e+10,1e-14
2.1172e+11,8.1577e+08,1.41,100,1.229e+10,1e-14
2.993e+11,5.3153e+07,0.71,100,1.229e+10,1e-14
2.8058e+11,1.4047e+09,0.84,10,1.229e+10,1e-14
1.7425e+11,1.0277e+10,1,10,1.229e+10,1e-14
5.0157e+10,2.0918e+10,1.19,10,1.229e+10,1e-14
1.4081e+10,2.4733e+10,1.41,10,1.229e+10,1e-14
2.9693e+11,1.9965e+08,0.71,10,1.229e+10,1e-14
2.8157e+11,1.4853e+10,0.84,1,1.229e+10,1e-14
1.4871e+11,1.4871e+11,1,1,1.229e+10,1e-14
9.8749e+09,3.2415e+11,1.19,1,1.229e+10,1e-14
3.1018e+08,3.7461e+11,1.41,1,1.229e+10,1e-14
2.9629e+11,1.5271e+09,0.71,1,1.229e+10,1e-14
2.9128e+11,2.7844e+11,0.84,0.1,1.229e+10,1e-14
2.2636e+11,1.3529e+12,1,0.1,1.229e+10,1e-14
3.7342e+10,3.9944e+12,1.19,0.1,1.229e+10,1e-14
1.0494e+09,4.9484e+12,1.41,0.1,1.229e+10,1e-14
2.9689e+11,6.6351e+10,0.71,0.1,1.229e+10,1e-14
2.955e+11,1.3205e+13,0.84,0.01,1.229e+10,1e-14
2.7294e+11,1.8474e+13,1,0.01,1.229e+10,1e-14
1.2214e+11,3.9958e+13,1.19,0.01,1.229e+10,1e-14
6.1812e+09,6.0919e+13,1.41,0.01,1.229e+10,1e-14
2.973e+11,1.0862e+13,0.71,0.01,1.229e+10,1e-14
