Cell_population,Cell2_population,relativecA,relativeI,cA,irate
2.9806e+11,7.0512e+06,0.44,100,4.17e-16,1e-14
2.9806e+11,7.0512e+06,0.67,100,4.17e-16,1e-14
2.9806e+11,7.0512e+06,1,100,4.17e-16,1e-14
2.9806e+11,7.0512e+06,1.5,100,4.17e-16,1e-14
2.9806e+11,7.0512e+06,2.25,100,4.17e-16,1e-14
1.7414e+11,1.0219e+10,0.44,10,4.17e-16,1e-14
1.7414e+11,1.0219e+10,0.67,10,4.17e-16,1e-14
1.7414e+11,1.0219e+10,1,10,4.17e-16,1e-14
1.7414e+11,1.0219e+10,1.5,10,4.17e-16,1e-14
1.7414e+11,1.0219e+10,2.25,10,4.17e-16,1e-14
1.486e+11,1.486e+11,0.44,1,4.17e-16,1e-14
1.486e+11,1.486e+11,0.67,1,4.17e-16,1e-14
1.486e+11,1.486e+11,1,1,4.17e-16,1e-14
1.486e+11,1.486e+11,1.5,1,4.17e-16,1e-14
1.486e+11,1.486e+11,2.25,1,4.17e-16,1e-14
2.2622e+11,1.3519e+12,0.44,0.1,4.17e-16,1e-14
2.2623e+11,1.352e+12,0.67,0.1,4.17e-16,1e-14
2.2624e+11,1.3521e+12,1,0.1,4.17e-16,1e-14
2.2625e+11,1.3522e+12,1.5,0.1,4.17e-16,1e-14
2.2627e+11,1.3524e+12,2.25,0.1,4.17e-16,1e-14
2.7272e+11,1.8433e+13,0.44,0.01,4.17e-16,1e-14
2.7276e+11,1.8446e+13,0.67,0.01,4.17e-16,1e-14
2.7283e+11,1.8465e+13,1,0.01,4.17e-16,1e-14
2.7292e+11,1.8493e+13,1.5,0.01,4.17e-16,1e-14
2.7307e+11,1.8537e+13,2.25,0.01,4.17e-16,1e-14
