Cell_population,Cell2_population,relativecR,relativeI,cR,irate
2.9917e+11,19734,0.67,100,2.25e-14,1e-14
2.9806e+11,7.0512e+06,1,100,2.25e-14,1e-14
1.9247e+11,9.6006e+08,1.5,100,2.25e-14,1e-14
1.493e+11,1.658e+09,2.25,100,2.25e-14,1e-14
2.9909e+11,304.13,0.44,100,2.25e-14,1e-14
2.9784e+11,6.9037e+07,0.67,10,2.25e-14,1e-14
1.7414e+11,1.0219e+10,1,10,2.25e-14,1e-14
8.3109e+09,2.5875e+10,1.5,10,2.25e-14,1e-14
1.0717e+07,3.4906e+10,2.25,10,2.25e-14,1e-14
2.9855e+11,1.0388e+06,0.44,10,2.25e-14,1e-14
2.97e+11,6.7725e+08,0.67,1,2.25e-14,1e-14
1.486e+11,1.486e+11,1,1,2.25e-14,1e-14
3.8758e+07,3.9026e+11,1.5,1,2.25e-14,1e-14
49.98,5.0834e+11,2.25,1,2.25e-14,1e-14
2.9763e+11,9.7785e+06,0.44,1,2.25e-14,1e-14
2.9708e+11,4.0052e+10,0.67,0.1,2.25e-14,1e-14
2.2624e+11,1.3521e+12,1,0.1,2.25e-14,1e-14
1.8865e+08,5.149e+12,1.5,0.1,2.25e-14,1e-14
271.25,6.6031e+12,2.25,0.1,2.25e-14,1e-14
2.9735e+11,1.5117e+09,0.44,0.1,2.25e-14,1e-14
2.9728e+11,1.0189e+13,0.67,0.01,2.25e-14,1e-14
2.7283e+11,1.8465e+13,1,0.01,2.25e-14,1e-14
1.3336e+09,6.383e+13,1.5,0.01,2.25e-14,1e-14
2362.4,8.1091e+13,2.25,0.01,2.25e-14,1e-14
2.9733e+11,6.3132e+12,0.44,0.01,2.25e-14,1e-14
