Cell_population,Cell2_population,relativecA,relativeI,cA,irate
1.5996e+11,6.6795e+09,0.44,100,4.17e-16,1e-14
1.5996e+11,6.6795e+09,0.67,100,4.17e-16,1e-14
1.5996e+11,6.6795e+09,1,100,4.17e-16,1e-14
1.5996e+11,6.6795e+09,1.5,100,4.17e-16,1e-14
1.5996e+11,6.6795e+09,2.25,100,4.17e-16,1e-14
1.6671e+11,6.7471e+10,0.44,10,4.17e-16,1e-14
1.6671e+11,6.7471e+10,0.67,10,4.17e-16,1e-14
1.6671e+11,6.7471e+10,1,10,4.17e-16,1e-14
1.6671e+11,6.7472e+10,1.5,10,4.17e-16,1e-14
1.6671e+11,6.7472e+10,2.25,10,4.17e-16,1e-14
4.4688e+11,4.4688e+11,0.44,1,4.17e-16,1e-14
4.4689e+11,4.4689e+11,0.67,1,4.17e-16,1e-14
4.469e+11,4.469e+11,1,1,4.17e-16,1e-14
4.4691e+11,4.4691e+11,1.5,1,4.17e-16,1e-14
4.4693e+11,4.4693e+11,2.25,1,4.17e-16,1e-14
7.6593e+11,1.6681e+12,0.44,0.1,4.17e-16,1e-14
7.6597e+11,1.6682e+12,0.67,0.1,4.17e-16,1e-14
7.6602e+11,1.6682e+12,1,0.1,4.17e-16,1e-14
7.661e+11,1.6684e+12,1.5,0.1,4.17e-16,1e-14
7.6621e+11,1.6685e+12,2.25,0.1,4.17e-16,1e-14
8.6456e+11,1.377e+13,0.44,0.01,4.17e-16,1e-14
8.6478e+11,1.3777e+13,0.67,0.01,4.17e-16,1e-14
8.6508e+11,1.3788e+13,1,0.01,4.17e-16,1e-14
8.6554e+11,1.3804e+13,1.5,0.01,4.17e-16,1e-14
8.6624e+11,1.3829e+13,2.25,0.01,4.17e-16,1e-14
