Cell_population,Cell2_population,relativecA,relativeI,Chi,irate
8.3699e+11,8.3362e+11,0.42,0.1,315,1e-14
4.4749e+11,4.465e+11,0.42,1,315,1e-14
7.9042e+10,7.9009e+10,0.42,10,315,1e-14
2.111e+11,2.1087e+11,0.42,3.1623,315,1e-14
6.9236e+11,6.9004e+11,0.42,0.31623,315,1e-14
8.3507e+11,8.6243e+11,5.62,0.1,315,1e-14
4.4317e+11,4.5109e+11,5.62,1,315,1e-14
7.8779e+10,7.9043e+10,5.62,10,315,1e-14
2.0958e+11,2.114e+11,5.62,3.1623,315,1e-14
6.8774e+11,7.0648e+11,5.62,0.31623,315,1e-14
8.3678e+11,8.3678e+11,1,0.1,315,1e-14
4.4701e+11,4.4701e+11,1,1,315,1e-14
7.9013e+10,7.9013e+10,1,10,315,1e-14
2.1093e+11,2.1093e+11,1,3.1623,315,1e-14
6.9185e+11,6.9185e+11,1,0.31623,315,1e-14
8.3707e+11,8.3232e+11,0.18,0.1,315,1e-14
4.4769e+11,4.4629e+11,0.18,1,315,1e-14
7.9055e+10,7.9008e+10,0.18,10,315,1e-14
2.1117e+11,2.1085e+11,0.18,3.1623,315,1e-14
6.9258e+11,6.8929e+11,0.18,0.31623,315,1e-14
8.3627e+11,8.4429e+11,2.37,0.1,315,1e-14
4.4587e+11,4.4822e+11,2.37,1,315,1e-14
7.8943e+10,7.9022e+10,2.37,10,315,1e-14
2.1053e+11,2.1107e+11,2.37,3.1623,315,1e-14
6.9064e+11,6.9616e+11,2.37,0.31623,315,1e-14
