Cell_population,Cell2_population,relativeY,relativeb,Y,b
8.9106e+11,4.6831e+10,0.84,0.1,1.229e+10,30
8.4711e+11,4.4469e+10,0.84,1,1.229e+10,30
5.6339e+11,2.9559e+10,0.84,10,1.229e+10,30
7.5644e+11,3.9686e+10,0.84,3.1623,1.229e+10,30
8.8013e+11,4.6236e+10,0.84,0.31623,1.229e+10,30
8.3678e+11,8.3678e+11,1,0.1,1.229e+10,30
4.4701e+11,4.4701e+11,1,1,1.229e+10,30
7.9013e+10,7.9013e+10,1,10,1.229e+10,30
2.1093e+11,2.1093e+11,1,3.1623,1.229e+10,30
6.9185e+11,6.9185e+11,1,0.31623,1.229e+10,30
2.9373e+11,9.7411e+12,1.19,0.1,1.229e+10,30
2.8946e+10,9.573e+11,1.19,1,1.229e+10,30
2.9332e+09,9.5418e+10,1.19,10,1.229e+10,30
9.1715e+09,3.0198e+11,1.19,3.1623,1.229e+10,30
9.187e+10,3.0445e+12,1.19,0.31623,1.229e+10,30
8.4109e+09,1.5749e+13,1.41,0.1,1.229e+10,30
6.8e+08,1.0873e+12,1.41,1,1.229e+10,30
1.1608e+08,1.0536e+11,1.41,10,1.229e+10,30
2.5326e+08,3.3568e+11,1.41,3.1623,1.229e+10,30
2.0922e+09,3.7181e+12,1.41,0.31623,1.229e+10,30
8.9422e+11,4.4373e+09,0.71,0.1,1.229e+10,30
8.9079e+11,4.3601e+09,0.71,1,1.229e+10,30
8.5276e+11,4.1261e+09,0.71,10,1.229e+10,30
8.8201e+11,4.283e+09,0.71,3.1623,1.229e+10,30
8.9341e+11,4.411e+09,0.71,0.31623,1.229e+10,30
