Cell_population,Cell2_population,relativecA,relativeI,cR,irate
8.9439e+11,2.214e+09,0.67,0.1,2.25e-14,1e-14
8.9323e+11,2.1507e+09,0.67,1,2.25e-14,1e-14
8.773e+11,2.0616e+09,0.67,10,2.25e-14,1e-14
8.8994e+11,2.1078e+09,0.67,3.1623,2.25e-14,1e-14
8.9412e+11,2.191e+09,0.67,0.31623,2.25e-14,1e-14
8.3678e+11,8.3678e+11,1,0.1,2.25e-14,1e-14
4.4701e+11,4.4701e+11,1,1,2.25e-14,1e-14
7.9013e+10,7.9013e+10,1,10,2.25e-14,1e-14
2.1093e+11,2.1093e+11,1,3.1623,2.25e-14,1e-14
6.9185e+11,6.9185e+11,1,0.31623,2.25e-14,1e-14
1.8103e+09,1.6403e+13,1.5,0.1,2.25e-14,1e-14
2.243e+08,1.1263e+12,1.5,1,2.25e-14,1e-14
7.1957e+07,1.091e+11,1.5,10,2.25e-14,1e-14
1.1261e+08,3.4764e+11,1.5,3.1623,2.25e-14,1e-14
5.3384e+08,3.8547e+12,1.5,0.31623,2.25e-14,1e-14
1.7315e+08,2.055e+13,2.25,0.1,2.25e-14,1e-14
1.1121e+08,1.413e+12,2.25,1,2.25e-14,1e-14
6.1089e+07,1.3692e+11,2.25,10,2.25e-14,1e-14
7.7776e+07,4.3626e+11,2.25,3.1623,2.25e-14,1e-14
1.4895e+08,4.8335e+12,2.25,0.31623,2.25e-14,1e-14
8.9452e+11,2.0392e+08,0.44,0.1,2.25e-14,1e-14
8.9516e+11,1.4349e+08,0.44,1,2.25e-14,1e-14
8.9953e+11,9.074e+07,0.44,10,2.25e-14,1e-14
8.9654e+11,1.08e+08,0.44,3.1623,2.25e-14,1e-14
8.9467e+11,1.8183e+08,0.44,0.31623,2.25e-14,1e-14
