Cell_population,Cell2_population,relativecA,relativeI,Chi,irate
4.5055e+12,4.4895e+12,0.42,0.1,315,1e-14
2.47e+12,2.465e+12,0.42,1,315,1e-14
4.6487e+11,4.6468e+11,0.42,10,315,1e-14
1.1991e+12,1.1978e+12,0.42,3.1623,315,1e-14
3.7557e+12,3.7445e+12,0.42,0.31623,315,1e-14
4.498e+12,4.6275e+12,5.62,0.1,315,1e-14
2.4518e+12,2.4915e+12,5.62,1,315,1e-14
4.6358e+11,4.6511e+11,5.62,10,315,1e-14
1.1923e+12,1.2019e+12,5.62,3.1623,315,1e-14
3.7372e+12,3.8275e+12,5.62,0.31623,315,1e-14
4.5047e+12,4.5047e+12,1,0.1,315,1e-14
2.4679e+12,2.4679e+12,1,1,315,1e-14
4.6472e+11,4.6472e+11,1,10,315,1e-14
1.1983e+12,1.1983e+12,1,3.1623,315,1e-14
3.7537e+12,3.7537e+12,1,0.31623,315,1e-14
4.5059e+12,4.4833e+12,0.18,0.1,315,1e-14
2.4708e+12,2.4638e+12,0.18,1,315,1e-14
4.6493e+11,4.6466e+11,0.18,10,315,1e-14
1.1994e+12,1.1977e+12,0.18,3.1623,315,1e-14
3.7566e+12,3.7407e+12,0.18,0.31623,315,1e-14
4.5027e+12,4.5407e+12,2.37,0.1,315,1e-14
2.4632e+12,2.4749e+12,2.37,1,315,1e-14
4.6439e+11,4.6484e+11,2.37,10,315,1e-14
1.1965e+12,1.1994e+12,2.37,3.1623,315,1e-14
3.7488e+12,3.7754e+12,2.37,0.31623,315,1e-14
