Cell_population,Cell2_population,relativecA,relativeI,Y,irate
2.1799e+12,4.1526e+11,100,0.1,1.229e+10,1e-14
4.2507e+11,5.0265e+10,100,1,1.229e+10,1e-14
8.1614e+10,5.5393e+09,100,10,1.229e+10,1e-14
1.862e+11,1.6795e+10,100,3.1623,1.229e+10,1e-14
9.6075e+11,1.4685e+11,100,0.31623,1.229e+10,1e-14
3.5952e+12,1.85e+12,10,0.1,1.229e+10,1e-14
9.0549e+11,4.2524e+11,10,1,1.229e+10,1e-14
1.1584e+11,5.2473e+10,10,10,1.229e+10,1e-14
3.3923e+11,1.5441e+11,10,3.1623,1.229e+10,1e-14
2.0443e+12,1.0086e+12,10,0.31623,1.229e+10,1e-14
4.5047e+12,4.5047e+12,1,0.1,1.229e+10,1e-14
2.4679e+12,2.4679e+12,1,1,1.229e+10,1e-14
4.6472e+11,4.6472e+11,1,10,1.229e+10,1e-14
1.1983e+12,1.1983e+12,1,3.1623,1.229e+10,1e-14
3.7537e+12,3.7537e+12,1,0.31623,1.229e+10,1e-14
4.7444e+12,9.887e+12,0.1,0.1,1.229e+10,1e-14
4.0879e+12,7.7348e+12,0.1,1,1.229e+10,1e-14
1.8758e+12,3.0592e+12,0.1,10,1.229e+10,1e-14
3.1439e+12,5.4975e+12,0.1,3.1623,1.229e+10,1e-14
4.5596e+12,9.1791e+12,0.1,0.31623,1.229e+10,1e-14
4.8595e+12,7.0368e+13,0.01,0.1,1.229e+10,1e-14
4.6409e+12,2.5322e+13,0.01,1,1.229e+10,1e-14
3.7529e+12,1.1677e+13,0.01,10,1.229e+10,1e-14
4.3505e+12,1.7534e+13,0.01,3.1623,1.229e+10,1e-14
4.7736e+12,3.7828e+13,0.01,0.31623,1.229e+10,1e-14
