Cell_population,Cell2_population,relativecA,relativeI,cA,irate
4.5032e+12,4.5032e+12,0.44,0.1,4.17e-16,1e-14
2.4675e+12,2.4675e+12,0.44,1,4.17e-16,1e-14
4.6471e+11,4.6471e+11,0.44,10,4.17e-16,1e-14
1.1982e+12,1.1982e+12,0.44,3.1623,4.17e-16,1e-14
3.7526e+12,3.7526e+12,0.44,0.31623,4.17e-16,1e-14
4.5038e+12,4.5038e+12,0.67,0.1,4.17e-16,1e-14
2.4677e+12,2.4677e+12,0.67,1,4.17e-16,1e-14
4.6471e+11,4.6471e+11,0.67,10,4.17e-16,1e-14
1.1982e+12,1.1982e+12,0.67,3.1623,4.17e-16,1e-14
3.753e+12,3.753e+12,0.67,0.31623,4.17e-16,1e-14
4.5047e+12,4.5047e+12,1,0.1,4.17e-16,1e-14
2.4679e+12,2.4679e+12,1,1,4.17e-16,1e-14
4.6472e+11,4.6472e+11,1,10,4.17e-16,1e-14
1.1983e+12,1.1983e+12,1,3.1623,4.17e-16,1e-14
3.7537e+12,3.7537e+12,1,0.31623,4.17e-16,1e-14
4.506e+12,4.506e+12,1.5,0.1,4.17e-16,1e-14
2.4683e+12,2.4683e+12,1.5,1,4.17e-16,1e-14
4.6474e+11,4.6474e+11,1.5,10,4.17e-16,1e-14
1.1984e+12,1.1984e+12,1.5,3.1623,4.17e-16,1e-14
3.7546e+12,3.7546e+12,1.5,0.31623,4.17e-16,1e-14
4.508e+12,4.508e+12,2.25,0.1,4.17e-16,1e-14
2.4689e+12,2.4689e+12,2.25,1,4.17e-16,1e-14
4.6476e+11,4.6476e+11,2.25,10,4.17e-16,1e-14
1.1985e+12,1.1985e+12,2.25,3.1623,4.17e-16,1e-14
3.756e+12,3.756e+12,2.25,0.31623,4.17e-16,1e-14
