Cell_population,Cell2_population,relativecA,relativeI,cR,irate
4.7965e+12,1.1124e+10,0.67,0.1,2.25e-14,1e-14
4.7544e+12,1.096e+10,0.67,1,2.25e-14,1e-14
4.5201e+12,1.037e+10,0.67,10,2.25e-14,1e-14
4.6804e+12,1.0754e+10,0.67,3.1623,2.25e-14,1e-14
4.7853e+12,1.1073e+10,0.67,0.31623,2.25e-14,1e-14
4.5047e+12,4.5047e+12,1,0.1,2.25e-14,1e-14
2.4679e+12,2.4679e+12,1,1,2.25e-14,1e-14
4.6472e+11,4.6472e+11,1,10,2.25e-14,1e-14
1.1983e+12,1.1983e+12,1,3.1623,2.25e-14,1e-14
3.7537e+12,3.7537e+12,1,0.31623,2.25e-14,1e-14
1.2599e+10,1.2319e+14,1.5,0.1,2.25e-14,1e-14
1.0361e+09,9.2617e+12,1.5,1,2.25e-14,1e-14
1.5654e+08,9.602e+11,1.5,10,2.25e-14,1e-14
3.7296e+08,2.9629e+12,1.5,3.1623,2.25e-14,1e-14
3.1911e+09,3.0431e+13,1.5,0.31623,2.25e-14,1e-14
1.8412e+08,2.4284e+14,2.25,0.1,2.25e-14,1e-14
1.1511e+08,1.7689e+13,2.25,1,2.25e-14,1e-14
6.1177e+07,1.7987e+12,2.25,10,2.25e-14,1e-14
7.8571e+07,5.5988e+12,2.25,3.1623,2.25e-14,1e-14
1.5749e+08,5.8921e+13,2.25,0.31623,2.25e-14,1e-14
4.7977e+12,3.4179e+08,0.44,0.1,2.25e-14,1e-14
4.7705e+12,2.7244e+08,0.44,1,2.25e-14,1e-14
4.654e+12,2.1415e+08,0.44,10,2.25e-14,1e-14
4.7273e+12,2.341e+08,0.44,3.1623,2.25e-14,1e-14
4.7903e+12,3.1544e+08,0.44,0.31623,2.25e-14,1e-14
