Cell_population,Cell2_population,relativeY,relativeb,Y,b
2.9634e+11,1.5691e+10,0.84,0.1,1.229e+10,30
2.8157e+11,1.4853e+10,0.84,1,1.229e+10,30
1.8638e+11,9.8175e+09,0.84,10,1.229e+10,30
2.5111e+11,1.3224e+10,0.84,3.1623,1.229e+10,30
2.9267e+11,1.5474e+10,0.84,0.31623,1.229e+10,30
2.783e+11,2.783e+11,1,0.1,1.229e+10,30
1.4871e+11,1.4871e+11,1,1,1.229e+10,30
2.6322e+10,2.6322e+10,1,10,1.229e+10,30
7.0203e+10,7.0203e+10,1,3.1623,1.229e+10,30
2.3012e+11,2.3012e+11,1,0.31623,1.229e+10,30
9.9059e+10,3.2825e+12,1.19,0.1,1.229e+10,30
9.8749e+09,3.2415e+11,1.19,1,1.229e+10,30
1.034e+09,3.2363e+10,1.19,10,1.229e+10,30
3.1581e+09,1.0232e+11,1.19,3.1623,1.229e+10,30
3.1167e+10,1.0297e+12,1.19,0.31623,1.229e+10,30
3.0127e+09,5.421e+12,1.41,0.1,1.229e+10,30
3.1018e+08,3.7461e+11,1.41,1,1.229e+10,30
8.0107e+07,3.6344e+10,1.41,10,1.229e+10,30
1.3886e+08,1.157e+11,1.41,3.1623,1.229e+10,30
8.2454e+08,1.2806e+12,1.41,0.31623,1.229e+10,30
2.9741e+11,1.5992e+09,0.71,0.1,1.229e+10,30
2.9629e+11,1.5271e+09,0.71,1,1.229e+10,30
2.8365e+11,1.413e+09,0.71,10,1.229e+10,30
2.9341e+11,1.4769e+09,0.71,3.1623,1.229e+10,30
2.9714e+11,1.5726e+09,0.71,0.31623,1.229e+10,30
