Cell_population,Cell2_population,relativecA,relativeI,cA,irate
2.7829e+11,2.7829e+11,0.44,0.1,4.17e-16,1e-14
1.4871e+11,1.4871e+11,0.44,1,4.17e-16,1e-14
2.6322e+10,2.6322e+10,0.44,10,4.17e-16,1e-14
7.0202e+10,7.0202e+10,0.44,3.1623,4.17e-16,1e-14
2.3012e+11,2.3012e+11,0.44,0.31623,4.17e-16,1e-14
2.7829e+11,2.7829e+11,0.67,0.1,4.17e-16,1e-14
1.4871e+11,1.4871e+11,0.67,1,4.17e-16,1e-14
2.6322e+10,2.6322e+10,0.67,10,4.17e-16,1e-14
7.0202e+10,7.0202e+10,0.67,3.1623,4.17e-16,1e-14
2.3012e+11,2.3012e+11,0.67,0.31623,4.17e-16,1e-14
2.783e+11,2.783e+11,1,0.1,4.17e-16,1e-14
1.4871e+11,1.4871e+11,1,1,4.17e-16,1e-14
2.6322e+10,2.6322e+10,1,10,4.17e-16,1e-14
7.0203e+10,7.0203e+10,1,3.1623,4.17e-16,1e-14
2.3012e+11,2.3012e+11,1,0.31623,4.17e-16,1e-14
2.783e+11,2.783e+11,1.5,0.1,4.17e-16,1e-14
1.4871e+11,1.4871e+11,1.5,1,4.17e-16,1e-14
2.6322e+10,2.6322e+10,1.5,10,4.17e-16,1e-14
7.0203e+10,7.0203e+10,1.5,3.1623,4.17e-16,1e-14
2.3012e+11,2.3012e+11,1.5,0.31623,4.17e-16,1e-14
2.7831e+11,2.7831e+11,2.25,0.1,4.17e-16,1e-14
1.4872e+11,1.4872e+11,2.25,1,4.17e-16,1e-14
2.6322e+10,2.6322e+10,2.25,10,4.17e-16,1e-14
7.0203e+10,7.0203e+10,2.25,3.1623,4.17e-16,1e-14
2.3013e+11,2.3013e+11,2.25,0.31623,4.17e-16,1e-14
