Cell_population,Cell2_population,relativecA,relativeI,Chi,irate
8.2712e+15,3.4683e+15,0.42,0.1,315,1e-14
8.2712e+15,3.4683e+15,0.42,1,315,1e-14
8.2712e+15,3.4683e+15,0.42,10,315,1e-14
8.2712e+15,3.4683e+15,0.42,3.1623,315,1e-14
8.2712e+15,3.4683e+15,0.42,0.31623,315,1e-14
1.865e+15,1.6623e+16,5.62,0.1,315,1e-14
1.865e+15,1.6623e+16,5.62,1,315,1e-14
1.865e+15,1.6623e+16,5.62,10,315,1e-14
1.865e+15,1.6623e+16,5.62,3.1623,315,1e-14
1.865e+15,1.6623e+16,5.62,0.31623,315,1e-14
5.9835e+15,5.9835e+15,1,0.1,315,1e-14
5.9835e+15,5.9835e+15,1,1,315,1e-14
5.9835e+15,5.9835e+15,1,10,315,1e-14
5.9835e+15,5.9835e+15,1,3.1623,315,1e-14
5.9835e+15,5.9835e+15,1,0.31623,315,1e-14
8.7151e+15,3.005e+15,0.18,0.1,315,1e-14
8.7151e+15,3.005e+15,0.18,1,315,1e-14
8.7151e+15,3.005e+15,0.18,10,315,1e-14
8.7151e+15,3.005e+15,0.18,3.1623,315,1e-14
8.7151e+15,3.005e+15,0.18,0.31623,315,1e-14
2.5124e+15,1.2215e+16,2.37,0.1,315,1e-14
2.5124e+15,1.2215e+16,2.37,1,315,1e-14
2.5124e+15,1.2215e+16,2.37,10,315,1e-14
2.5124e+15,1.2215e+16,2.37,3.1623,315,1e-14
2.5124e+15,1.2215e+16,2.37,0.31623,315,1e-14
