Cell_population,Cell2_population,relativeY,relativeb,Y,b
9.3965e+15,1.9321e+15,0.84,0.1,1.229e+10,30
9.3965e+15,1.9321e+15,0.84,1,1.229e+10,30
9.3965e+15,1.9321e+15,0.84,10,1.229e+10,30
9.3965e+15,1.9321e+15,0.84,3.1623,1.229e+10,30
9.3965e+15,1.9321e+15,0.84,0.31623,1.229e+10,30
5.9835e+15,5.9835e+15,1,0.1,1.229e+10,30
5.9835e+15,5.9835e+15,1,1,1.229e+10,30
5.9835e+15,5.9835e+15,1,10,1.229e+10,30
5.9835e+15,5.9835e+15,1,3.1623,1.229e+10,30
5.9835e+15,5.9835e+15,1,0.31623,1.229e+10,30
2.2119e+15,1.2646e+16,1.19,0.1,1.229e+10,30
2.2119e+15,1.2646e+16,1.19,1,1.229e+10,30
2.2119e+15,1.2646e+16,1.19,10,1.229e+10,30
2.2119e+15,1.2646e+16,1.19,3.1623,1.229e+10,30
2.2119e+15,1.2646e+16,1.19,0.31623,1.229e+10,30
8.4467e+14,1.8566e+16,1.41,0.1,1.229e+10,30
8.4467e+14,1.8566e+16,1.41,1,1.229e+10,30
8.4467e+14,1.8566e+16,1.41,10,1.229e+10,30
8.4467e+14,1.8566e+16,1.41,3.1623,1.229e+10,30
8.4467e+14,1.8566e+16,1.41,0.31623,1.229e+10,30
1.0626e+16,7.2614e+14,0.71,0.1,1.229e+10,30
1.0626e+16,7.2614e+14,0.71,1,1.229e+10,30
1.0626e+16,7.2614e+14,0.71,10,1.229e+10,30
1.0626e+16,7.2614e+14,0.71,3.1623,1.229e+10,30
1.0626e+16,7.2614e+14,0.71,0.31623,1.229e+10,30
