Cell_population,Cell2_population,relativecA,relativeb,cA,b
5.8346e+15,5.8346e+15,0.44,0.1,4.17e-16,30
5.8346e+15,5.8346e+15,0.44,1,4.17e-16,30
5.8346e+15,5.8346e+15,0.44,10,4.17e-16,30
5.8346e+15,5.8346e+15,0.44,3.1623,4.17e-16,30
5.8346e+15,5.8346e+15,0.44,0.31623,4.17e-16,30
5.9021e+15,5.9021e+15,0.67,0.1,4.17e-16,30
5.9021e+15,5.9021e+15,0.67,1,4.17e-16,30
5.9021e+15,5.9021e+15,0.67,10,4.17e-16,30
5.9021e+15,5.9021e+15,0.67,3.1623,4.17e-16,30
5.9021e+15,5.9021e+15,0.67,0.31623,4.17e-16,30
5.9835e+15,5.9835e+15,1,0.1,4.17e-16,30
5.9835e+15,5.9835e+15,1,1,4.17e-16,30
5.9835e+15,5.9835e+15,1,10,4.17e-16,30
5.9835e+15,5.9835e+15,1,3.1623,4.17e-16,30
5.9835e+15,5.9835e+15,1,0.31623,4.17e-16,30
6.0796e+15,6.0796e+15,1.5,0.1,4.17e-16,30
6.0796e+15,6.0796e+15,1.5,1,4.17e-16,30
6.0796e+15,6.0796e+15,1.5,10,4.17e-16,30
6.0796e+15,6.0796e+15,1.5,3.1623,4.17e-16,30
6.0796e+15,6.0796e+15,1.5,0.31623,4.17e-16,30
6.1811e+15,6.1811e+15,2.25,0.1,4.17e-16,30
6.1811e+15,6.1811e+15,2.25,1,4.17e-16,30
6.1811e+15,6.1811e+15,2.25,10,4.17e-16,30
6.1811e+15,6.1811e+15,2.25,3.1623,4.17e-16,30
6.1811e+15,6.1811e+15,2.25,0.31623,4.17e-16,30
