Cell_population,Cell2_population,relativeY,relativeI,Y,irate
4.5489e+11,3.7314e+09,0.84,100,1.229e+10,1e-14
1.6007e+11,6.7326e+09,1,100,1.229e+10,1e-14
9.4842e+10,7.8555e+09,1.19,100,1.229e+10,1e-14
7.692e+10,8.6778e+09,1.41,100,1.229e+10,1e-14
7.9112e+11,8.9151e+08,0.71,100,1.229e+10,1e-14
6.7753e+11,1.884e+10,0.84,10,1.229e+10,1e-14
1.6682e+11,6.7529e+10,1,10,1.229e+10,1e-14
9.0579e+09,8.7978e+10,1.19,10,1.229e+10,1e-14
2.8667e+08,9.7522e+10,1.41,10,1.229e+10,1e-14
8.7029e+11,2.3993e+09,0.71,10,1.229e+10,1e-14
8.4711e+11,4.4469e+10,0.84,1,1.229e+10,1e-14
4.4701e+11,4.4701e+11,1,1,1.229e+10,1e-14
2.8946e+10,9.573e+11,1.19,1,1.229e+10,1e-14
6.8e+08,1.0873e+12,1.41,1,1.229e+10,1e-14
8.9079e+11,4.3601e+09,0.71,1,1.229e+10,1e-14
8.858e+11,1.3218e+11,0.84,0.1,1.229e+10,1e-14
7.6614e+11,1.6691e+12,1,0.1,1.229e+10,1e-14
1.6784e+11,9.0059e+12,1.19,0.1,1.229e+10,1e-14
4.2763e+09,1.1997e+13,1.41,0.1,1.229e+10,1e-14
8.9375e+11,1.3565e+10,0.71,0.1,1.229e+10,1e-14
8.9279e+11,7.614e+12,0.84,0.01,1.229e+10,1e-14
8.6519e+11,1.3797e+13,1,0.01,1.229e+10,1e-14
5.2555e+11,5.7902e+13,1.19,0.01,1.229e+10,1e-14
3.2418e+10,1.2932e+14,1.41,0.01,1.229e+10,1e-14
8.9438e+11,5.4095e+12,0.71,0.01,1.229e+10,1e-14
