Cell_population,Cell2_population,relativecA,relativeI,cA,irate
5.8346e+15,5.8346e+15,0.44,100,4.17e-16,1e-14
5.9021e+15,5.9021e+15,0.67,100,4.17e-16,1e-14
5.9835e+15,5.9835e+15,1,100,4.17e-16,1e-14
6.0796e+15,6.0796e+15,1.5,100,4.17e-16,1e-14
6.1811e+15,6.1811e+15,2.25,100,4.17e-16,1e-14
5.8346e+15,5.8346e+15,0.44,10,4.17e-16,1e-14
5.9021e+15,5.9021e+15,0.67,10,4.17e-16,1e-14
5.9835e+15,5.9835e+15,1,10,4.17e-16,1e-14
6.0796e+15,6.0796e+15,1.5,10,4.17e-16,1e-14
6.1811e+15,6.1811e+15,2.25,10,4.17e-16,1e-14
5.8346e+15,5.8346e+15,0.44,1,4.17e-16,1e-14
5.9021e+15,5.9021e+15,0.67,1,4.17e-16,1e-14
5.9835e+15,5.9835e+15,1,1,4.17e-16,1e-14
6.0796e+15,6.0796e+15,1.5,1,4.17e-16,1e-14
6.1811e+15,6.1811e+15,2.25,1,4.17e-16,1e-14
5.8346e+15,5.8346e+15,0.44,0.1,4.17e-16,1e-14
5.9021e+15,5.9021e+15,0.67,0.1,4.17e-16,1e-14
5.9835e+15,5.9835e+15,1,0.1,4.17e-16,1e-14
6.0796e+15,6.0796e+15,1.5,0.1,4.17e-16,1e-14
6.1811e+15,6.1811e+15,2.25,0.1,4.17e-16,1e-14
5.8346e+15,5.8346e+15,0.44,0.01,4.17e-16,1e-14
5.9021e+15,5.9021e+15,0.67,0.01,4.17e-16,1e-14
5.9835e+15,5.9835e+15,1,0.01,4.17e-16,1e-14
6.0796e+15,6.0796e+15,1.5,0.01,4.17e-16,1e-14
6.1811e+15,6.1811e+15,2.25,0.01,4.17e-16,1e-14
