Cell_population,Cell2_population,relativeI,relativeb,irate,b
3.6212e+11,7.2085e+10,100,0.1,1e-14,30
1.6007e+11,6.7326e+09,100,1,1e-14,30
1.1589e+11,6.7933e+08,100,10,1e-14,30
1.2958e+11,2.1339e+09,100,3.1623,1e-14,30
2.2279e+11,2.1157e+10,100,0.31623,1e-14,30
6.3179e+11,3.631e+11,10,0.1,1e-14,30
1.6682e+11,6.7529e+10,10,1,1e-14,30
2.6879e+10,7.6519e+09,10,10,1e-14,30
7.0175e+10,2.331e+10,10,3.1623,1e-14,30
3.5323e+11,1.7423e+11,10,0.31623,1e-14,30
8.3678e+11,8.3678e+11,1,0.1,1e-14,30
4.4701e+11,4.4701e+11,1,1,1e-14,30
7.9013e+10,7.9013e+10,1,10,1e-14,30
2.1093e+11,2.1093e+11,1,3.1623,1e-14,30
6.9185e+11,6.9185e+11,1,0.31623,1e-14,30
8.8372e+11,2.5142e+12,0.1,0.1,1e-14,30
7.6614e+11,1.6691e+12,0.1,1,1e-14,30
3.5071e+11,6.0131e+11,0.1,10,1e-14,30
5.9205e+11,1.1181e+12,0.1,3.1623,1e-14,30
8.5095e+11,2.1544e+12,0.1,0.31623,1e-14,30
8.9701e+11,1.4424e+14,0.01,0.1,1e-14,30
8.6519e+11,1.3797e+13,0.01,1,1e-14,30
7.1223e+11,3.1143e+12,0.01,10,1e-14,30
8.1629e+11,6.1713e+12,0.01,3.1623,1e-14,30
8.862e+11,3.7649e+13,0.01,0.31623,1e-14,30
