Cell_population,Cell2_population,relativeChi,relativeb,Chi,b
2.7832e+11,2.7792e+11,0.42,0.1,315,30
1.4877e+11,1.4865e+11,0.42,1,315,30
2.6325e+10,2.6321e+10,0.42,10,315,30
7.0223e+10,7.0196e+10,0.42,3.1623,315,30
2.3018e+11,2.2991e+11,0.42,0.31623,315,30
2.781e+11,2.813e+11,5.62,0.1,315,30
1.4825e+11,1.492e+11,5.62,1,315,30
2.6293e+10,2.6325e+10,5.62,10,315,30
7.004e+10,7.0258e+10,5.62,3.1623,315,30
2.2963e+11,2.3184e+11,5.62,0.31623,315,30
2.783e+11,2.783e+11,1,0.1,315,30
1.4871e+11,1.4871e+11,1,1,315,30
2.6322e+10,2.6322e+10,1,10,315,30
7.0203e+10,7.0203e+10,1,3.1623,315,30
2.3012e+11,2.3012e+11,1,0.31623,315,30
2.7833e+11,2.7777e+11,0.18,0.1,315,30
1.4879e+11,1.4863e+11,0.18,1,315,30
2.6327e+10,2.6321e+10,0.18,10,315,30
7.0231e+10,7.0193e+10,0.18,3.1623,315,30
2.3021e+11,2.2982e+11,0.18,0.31623,315,30
2.7824e+11,2.7918e+11,2.37,0.1,315,30
1.4858e+11,1.4886e+11,2.37,1,315,30
2.6313e+10,2.6323e+10,2.37,10,315,30
7.0154e+10,7.0219e+10,2.37,3.1623,315,30
2.2998e+11,2.3063e+11,2.37,0.31623,315,30
