Cell_population,Cell2_population,relativecR,relativeb,cR,b
2.9747e+11,8.6017e+08,0.67,0.1,2.25e-14,30
2.9711e+11,7.9255e+08,0.67,1,2.25e-14,30
2.9197e+11,7.2682e+08,0.67,10,2.25e-14,30
2.9609e+11,7.5367e+08,0.67,3.1623,2.25e-14,30
2.9738e+11,8.3468e+08,0.67,0.31623,2.25e-14,30
2.783e+11,2.783e+11,1,0.1,2.25e-14,30
1.4871e+11,1.4871e+11,1,1,2.25e-14,30
2.6322e+10,2.6322e+10,1,10,2.25e-14,30
7.0203e+10,7.0203e+10,1,3.1623,2.25e-14,30
2.3012e+11,2.3012e+11,1,0.31623,2.25e-14,30
7.4694e+08,5.6802e+12,1.5,0.1,2.25e-14,30
1.5344e+08,3.9037e+11,1.5,1,2.25e-14,30
6.4927e+07,3.7861e+10,1.5,10,2.25e-14,30
9.0476e+07,1.2054e+11,1.5,3.1623,2.25e-14,30
2.8886e+08,1.3356e+12,1.5,0.31623,2.25e-14,30
1.8171e+08,7.3882e+12,2.25,0.1,2.25e-14,30
1.1409e+08,5.0845e+11,2.25,1,2.25e-14,30
6.1153e+07,4.9314e+10,2.25,10,2.25e-14,30
7.8357e+07,1.5703e+11,2.25,3.1623,2.25e-14,30
1.5543e+08,1.7387e+12,2.25,0.31623,2.25e-14,30
2.9751e+11,1.9199e+08,0.44,0.1,2.25e-14,30
2.9774e+11,1.2524e+08,0.44,1,2.25e-14,30
2.9941e+11,7.1035e+07,0.44,10,2.25e-14,30
2.9827e+11,8.8523e+07,0.44,3.1623,2.25e-14,30
2.9756e+11,1.668e+08,0.44,0.31623,2.25e-14,30
