Cell_population,Cell2_population,relativeChi,relativeI,Chi,irate
1.3748e+11,7.8225e+08,0.42,100,315,1e-14
1.3747e+11,7.8275e+08,5.62,100,315,1e-14
1.3748e+11,7.823e+08,1,100,315,1e-14
1.3748e+11,7.8223e+08,0.18,100,315,1e-14
1.3748e+11,7.8244e+08,2.37,100,315,1e-14
1.1291e+11,6.6427e+09,0.42,10,315,1e-14
1.1287e+11,6.6498e+09,5.62,10,315,1e-14
1.129e+11,6.6435e+09,1,10,315,1e-14
1.1291e+11,6.6424e+09,0.18,10,315,1e-14
1.1289e+11,6.6454e+09,2.37,10,315,1e-14
7.1922e+10,7.1875e+10,0.42,1,315,1e-14
7.1714e+10,7.2093e+10,5.62,1,315,1e-14
7.1899e+10,7.1899e+10,1,1,315,1e-14
7.1932e+10,7.1865e+10,0.18,1,315,1e-14
7.1844e+10,7.1957e+10,2.37,1,315,1e-14
7.2681e+10,1.0896e+12,0.42,0.1,315,1e-14
7.2021e+10,1.0942e+12,5.62,0.1,315,1e-14
7.2608e+10,1.0901e+12,1,0.1,315,1e-14
7.2711e+10,1.0894e+12,0.18,0.1,315,1e-14
7.2434e+10,1.0913e+12,2.37,0.1,315,1e-14
9.8483e+10,1.3457e+13,0.42,0.01,315,1e-14
9.3607e+10,1.3677e+13,5.62,0.01,315,1e-14
9.7959e+10,1.3481e+13,1,0.01,315,1e-14
9.8698e+10,1.3448e+13,0.18,0.01,315,1e-14
9.6701e+10,1.3538e+13,2.37,0.01,315,1e-14
