Cell_population,Cell2_population,relativeY,relativeI,Y,irate
1.4417e+11,1.3031e+08,0.84,100,1.229e+10,1e-14
1.3748e+11,7.823e+08,1,100,1.229e+10,1e-14
1.2432e+11,1.5671e+09,1.19,100,1.229e+10,1e-14
1.1795e+11,1.7822e+09,1.41,100,1.229e+10,1e-14
1.4473e+11,6.5326e+07,0.71,100,1.229e+10,1e-14
1.4187e+11,7.6558e+08,0.84,10,1.229e+10,1e-14
1.129e+11,6.6435e+09,1,10,1.229e+10,1e-14
5.4909e+10,1.5088e+10,1.19,10,1.229e+10,1e-14
3.0367e+10,1.7348e+10,1.41,10,1.229e+10,1e-14
1.4444e+11,1.6592e+08,0.71,10,1.229e+10,1e-14
1.3665e+11,7.5295e+09,0.84,1,1.229e+10,1e-14
7.1899e+10,7.1899e+10,1,1,1.229e+10,1e-14
5.002e+09,1.536e+11,1.19,1,1.229e+10,1e-14
4.7222e+08,1.7321e+11,1.41,1,1.229e+10,1e-14
1.4345e+11,1.0795e+09,0.71,1,1.229e+10,1e-14
1.3326e+11,5.2802e+11,0.84,0.1,1.229e+10,1e-14
7.2608e+10,1.0901e+12,1,0.1,1.229e+10,1e-14
6.1849e+09,1.5642e+12,1.19,0.1,1.229e+10,1e-14
4.5086e+08,1.7367e+12,1.41,0.1,1.229e+10,1e-14
1.4226e+11,2.8402e+11,0.71,0.1,1.229e+10,1e-14
1.3723e+11,1.1269e+13,0.84,0.01,1.229e+10,1e-14
9.7959e+10,1.3481e+13,1,0.01,1.229e+10,1e-14
1.2781e+10,1.5869e+13,1.19,0.01,1.229e+10,1e-14
4.9058e+08,1.7471e+13,1.41,0.01,1.229e+10,1e-14
1.4238e+11,9.736e+12,0.71,0.01,1.229e+10,1e-14
