Cell_population,Cell2_population,relativecA,relativeI,cA,irate
1.3748e+11,7.823e+08,0.44,100,4.17e-16,1e-14
1.3748e+11,7.823e+08,0.67,100,4.17e-16,1e-14
1.3748e+11,7.823e+08,1,100,4.17e-16,1e-14
1.3748e+11,7.823e+08,1.5,100,4.17e-16,1e-14
1.3748e+11,7.823e+08,2.25,100,4.17e-16,1e-14
1.129e+11,6.6435e+09,0.44,10,4.17e-16,1e-14
1.129e+11,6.6435e+09,0.67,10,4.17e-16,1e-14
1.129e+11,6.6435e+09,1,10,4.17e-16,1e-14
1.129e+11,6.6435e+09,1.5,10,4.17e-16,1e-14
1.129e+11,6.6435e+09,2.25,10,4.17e-16,1e-14
7.1898e+10,7.1898e+10,0.44,1,4.17e-16,1e-14
7.1899e+10,7.1899e+10,0.67,1,4.17e-16,1e-14
7.1899e+10,7.1899e+10,1,1,4.17e-16,1e-14
7.1899e+10,7.1899e+10,1.5,1,4.17e-16,1e-14
7.19e+10,7.19e+10,2.25,1,4.17e-16,1e-14
7.2606e+10,1.09e+12,0.44,0.1,4.17e-16,1e-14
7.2607e+10,1.09e+12,0.67,0.1,4.17e-16,1e-14
7.2608e+10,1.0901e+12,1,0.1,4.17e-16,1e-14
7.2609e+10,1.0902e+12,1.5,0.1,4.17e-16,1e-14
7.2611e+10,1.0903e+12,2.25,0.1,4.17e-16,1e-14
9.801e+10,1.3464e+13,0.44,0.01,4.17e-16,1e-14
9.7989e+10,1.3471e+13,0.67,0.01,4.17e-16,1e-14
9.7959e+10,1.3481e+13,1,0.01,4.17e-16,1e-14
9.7912e+10,1.3497e+13,1.5,0.01,4.17e-16,1e-14
9.7841e+10,1.352e+13,2.25,0.01,4.17e-16,1e-14
