Cell_population,Cell2_population,relativecR,relativeI,cR,irate
1.4475e+11,6.1635e+07,0.67,100,2.25e-14,1e-14
1.3748e+11,7.823e+08,1,100,2.25e-14,1e-14
1.1621e+11,1.8416e+09,1.5,100,2.25e-14,1e-14
1.0488e+11,2.2694e+09,2.25,100,2.25e-14,1e-14
1.4469e+11,5.8223e+07,0.44,100,2.25e-14,1e-14
1.4451e+11,1.3204e+08,0.67,10,2.25e-14,1e-14
1.129e+11,6.6435e+09,1,10,2.25e-14,1e-14
2.4956e+10,1.7941e+10,1.5,10,2.25e-14,1e-14
2.6446e+09,2.2226e+10,2.25,10,2.25e-14,1e-14
1.4439e+11,1.0105e+08,0.44,10,2.25e-14,1e-14
1.4375e+11,7.2528e+08,0.67,1,2.25e-14,1e-14
7.1899e+10,7.1899e+10,1,1,2.25e-14,1e-14
3.9763e+08,1.7904e+11,1.5,1,2.25e-14,1e-14
3.6199e+08,2.2192e+11,2.25,1,2.25e-14,1e-14
1.4382e+11,4.076e+08,0.44,1,2.25e-14,1e-14
1.4288e+11,2.367e+11,0.67,0.1,2.25e-14,1e-14
7.2608e+10,1.0901e+12,1,0.1,2.25e-14,1e-14
3.413e+08,1.7947e+12,1.5,0.1,2.25e-14,1e-14
2.7247e+08,2.2233e+12,2.25,0.1,2.25e-14,1e-14
1.4345e+11,3.5895e+10,0.44,0.1,2.25e-14,1e-14
1.428e+11,9.3161e+12,0.67,0.01,2.25e-14,1e-14
9.7959e+10,1.3481e+13,1,0.01,2.25e-14,1e-14
2.1592e+08,1.8052e+13,1.5,0.01,2.25e-14,1e-14
1.105e+08,2.2342e+13,2.25,0.01,2.25e-14,1e-14
1.4329e+11,8.1677e+12,0.44,0.01,2.25e-14,1e-14
