Cell_population,Cell2_population,relativeChi,relativeI,Chi,irate
1.3799e+11,7.4053e+08,0.42,100,315,1e-14
1.3798e+11,7.41e+08,5.62,100,315,1e-14
1.3799e+11,7.4058e+08,1,100,315,1e-14
1.3799e+11,7.4051e+08,0.18,100,315,1e-14
1.3799e+11,7.4071e+08,2.37,100,315,1e-14
1.1425e+11,6.4157e+09,0.42,10,315,1e-14
1.1423e+11,6.4206e+09,5.62,10,315,1e-14
1.1425e+11,6.4163e+09,1,10,315,1e-14
1.1425e+11,6.4155e+09,0.18,10,315,1e-14
1.1424e+11,6.4175e+09,2.37,10,315,1e-14
7.2041e+10,7.202e+10,0.42,1,315,1e-14
7.1954e+10,7.2117e+10,5.62,1,315,1e-14
7.2031e+10,7.2031e+10,1,1,315,1e-14
7.2045e+10,7.2016e+10,0.18,1,315,1e-14
7.2008e+10,7.2057e+10,2.37,1,315,1e-14
6.9926e+10,1.1069e+12,0.42,0.1,315,1e-14
6.9458e+10,1.1105e+12,5.62,0.1,315,1e-14
6.9874e+10,1.1073e+12,1,0.1,315,1e-14
6.9948e+10,1.1068e+12,0.18,0.1,315,1e-14
6.9751e+10,1.1083e+12,2.37,0.1,315,1e-14
9.4771e+10,1.3509e+13,0.42,0.01,315,1e-14
8.9659e+10,1.3732e+13,5.62,0.01,315,1e-14
9.4219e+10,1.3534e+13,1,0.01,315,1e-14
9.4998e+10,1.35e+13,0.18,0.01,315,1e-14
9.2896e+10,1.3591e+13,2.37,0.01,315,1e-14
