Cell_population,Cell2_population,relativecR,relativeI,cR,irate
1.4481e+11,6.1096e+07,0.67,100,2.25e-14,1e-14
1.3799e+11,7.4058e+08,1,100,2.25e-14,1e-14
1.1623e+11,1.8427e+09,1.5,100,2.25e-14,1e-14
1.0486e+11,2.2699e+09,2.25,100,2.25e-14,1e-14
1.4477e+11,5.8142e+07,0.44,100,2.25e-14,1e-14
1.4468e+11,1.2979e+08,0.67,10,2.25e-14,1e-14
1.1425e+11,6.4163e+09,1,10,2.25e-14,1e-14
2.4982e+10,1.7954e+10,1.5,10,2.25e-14,1e-14
2.6373e+09,2.2232e+10,2.25,10,2.25e-14,1e-14
1.4459e+11,1.0116e+08,0.44,10,2.25e-14,1e-14
1.4406e+11,7.534e+08,0.67,1,2.25e-14,1e-14
7.2031e+10,7.2031e+10,1,1,2.25e-14,1e-14
4.3882e+08,1.7921e+11,1.5,1,2.25e-14,1e-14
4.1459e+08,2.2203e+11,2.25,1,2.25e-14,1e-14
1.4415e+11,4.3121e+08,0.44,1,2.25e-14,1e-14
1.4317e+11,2.3308e+11,0.67,0.1,2.25e-14,1e-14
6.9874e+10,1.1073e+12,1,0.1,2.25e-14,1e-14
3.915e+08,1.7961e+12,1.5,0.1,2.25e-14,1e-14
3.2883e+08,2.2244e+12,2.25,0.1,2.25e-14,1e-14
1.4379e+11,3.8911e+10,0.44,0.1,2.25e-14,1e-14
1.4302e+11,9.2712e+12,0.67,0.01,2.25e-14,1e-14
9.4219e+10,1.3534e+13,1,0.01,2.25e-14,1e-14
2.0715e+08,1.8052e+13,1.5,0.01,2.25e-14,1e-14
1.1048e+08,2.2343e+13,2.25,0.01,2.25e-14,1e-14
1.4358e+11,7.9204e+12,0.44,0.01,2.25e-14,1e-14
