Cell_population,Cell2_population,relativeChi,relativeI,Chi,irate
1.424e+11,6.0087e+07,0.42,100,315,1e-14
1.424e+11,6.0089e+07,5.62,100,315,1e-14
1.424e+11,6.0087e+07,1,100,315,1e-14
1.424e+11,6.0087e+07,0.18,100,315,1e-14
1.424e+11,6.0088e+07,2.37,100,315,1e-14
1.2241e+11,4.0563e+09,0.42,10,315,1e-14
1.2238e+11,4.0604e+09,5.62,10,315,1e-14
1.224e+11,4.0567e+09,1,10,315,1e-14
1.2241e+11,4.0561e+09,0.18,10,315,1e-14
1.224e+11,4.0578e+09,2.37,10,315,1e-14
7.0759e+10,7.073e+10,0.42,1,315,1e-14
7.0631e+10,7.0868e+10,5.62,1,315,1e-14
7.0745e+10,7.0745e+10,1,1,315,1e-14
7.0765e+10,7.0723e+10,0.18,1,315,1e-14
7.0711e+10,7.0781e+10,2.37,1,315,1e-14
6.8653e+10,1.1071e+12,0.42,0.1,315,1e-14
6.8128e+10,1.111e+12,5.62,0.1,315,1e-14
6.8595e+10,1.1075e+12,1,0.1,315,1e-14
6.8678e+10,1.1069e+12,0.18,0.1,315,1e-14
6.8456e+10,1.1085e+12,2.37,0.1,315,1e-14
9.3551e+10,1.3513e+13,0.42,0.01,315,1e-14
8.8623e+10,1.3734e+13,5.62,0.01,315,1e-14
9.3019e+10,1.3537e+13,1,0.01,315,1e-14
9.377e+10,1.3503e+13,0.18,0.01,315,1e-14
9.1745e+10,1.3595e+13,2.37,0.01,315,1e-14
