Cell_population,Cell2_population,relativeY,relativeI,Y,irate
1.4236e+11,5.8285e+07,0.84,100,1.229e+10,1e-14
1.424e+11,6.0087e+07,1,100,1.229e+10,1e-14
1.4179e+11,1.0728e+08,1.19,100,1.229e+10,1e-14
1.3426e+11,5.7927e+08,1.41,100,1.229e+10,1e-14
1.4233e+11,5.8189e+07,0.71,100,1.229e+10,1e-14
1.4093e+11,4.377e+08,0.84,10,1.229e+10,1e-14
1.224e+11,4.0567e+09,1,10,1.229e+10,1e-14
6.5755e+10,1.2664e+10,1.19,10,1.229e+10,1e-14
3.6354e+10,1.5544e+10,1.41,10,1.229e+10,1e-14
1.4219e+11,1.3369e+08,0.71,10,1.229e+10,1e-14
1.3442e+11,7.4338e+09,0.84,1,1.229e+10,1e-14
7.0745e+10,7.0745e+10,1,1,1.229e+10,1e-14
4.9621e+09,1.5145e+11,1.19,1,1.229e+10,1e-14
4.9885e+08,1.7115e+11,1.41,1,1.229e+10,1e-14
1.4114e+11,1.0893e+09,0.71,1,1.229e+10,1e-14
1.3017e+11,5.4359e+11,0.84,0.1,1.229e+10,1e-14
6.8595e+10,1.1075e+12,1,0.1,1.229e+10,1e-14
5.7198e+09,1.5646e+12,1.19,0.1,1.229e+10,1e-14
4.731e+08,1.7352e+12,1.41,0.1,1.229e+10,1e-14
1.3983e+11,2.9245e+11,0.71,0.1,1.229e+10,1e-14
1.3427e+11,1.1315e+13,0.84,0.01,1.229e+10,1e-14
9.3019e+10,1.3537e+13,1,0.01,1.229e+10,1e-14
1.1523e+10,1.5875e+13,1.19,0.01,1.229e+10,1e-14
4.5566e+08,1.7469e+13,1.41,0.01,1.229e+10,1e-14
1.3993e+11,9.7632e+12,0.71,0.01,1.229e+10,1e-14
