Cell_population,Cell2_population,relativecA,relativeI,cA,irate
1.424e+11,6.0087e+07,0.44,100,4.17e-16,1e-14
1.424e+11,6.0087e+07,0.67,100,4.17e-16,1e-14
1.424e+11,6.0087e+07,1,100,4.17e-16,1e-14
1.424e+11,6.0087e+07,1.5,100,4.17e-16,1e-14
1.424e+11,6.0087e+07,2.25,100,4.17e-16,1e-14
1.224e+11,4.0567e+09,0.44,10,4.17e-16,1e-14
1.224e+11,4.0567e+09,0.67,10,4.17e-16,1e-14
1.224e+11,4.0567e+09,1,10,4.17e-16,1e-14
1.224e+11,4.0567e+09,1.5,10,4.17e-16,1e-14
1.224e+11,4.0567e+09,2.25,10,4.17e-16,1e-14
7.0745e+10,7.0745e+10,0.44,1,4.17e-16,1e-14
7.0745e+10,7.0745e+10,0.67,1,4.17e-16,1e-14
7.0745e+10,7.0745e+10,1,1,4.17e-16,1e-14
7.0746e+10,7.0746e+10,1.5,1,4.17e-16,1e-14
7.0746e+10,7.0746e+10,2.25,1,4.17e-16,1e-14
6.8593e+10,1.1074e+12,0.44,0.1,4.17e-16,1e-14
6.8594e+10,1.1075e+12,0.67,0.1,4.17e-16,1e-14
6.8595e+10,1.1075e+12,1,0.1,4.17e-16,1e-14
6.8597e+10,1.1076e+12,1.5,0.1,4.17e-16,1e-14
6.86e+10,1.1078e+12,2.25,0.1,4.17e-16,1e-14
9.3075e+10,1.352e+13,0.44,0.01,4.17e-16,1e-14
9.3052e+10,1.3527e+13,0.67,0.01,4.17e-16,1e-14
9.3019e+10,1.3537e+13,1,0.01,4.17e-16,1e-14
9.2969e+10,1.3553e+13,1.5,0.01,4.17e-16,1e-14
9.2892e+10,1.3577e+13,2.25,0.01,4.17e-16,1e-14
