Cell_population,Cell2_population,relativecR,relativeI,cR,irate
1.4232e+11,5.8184e+07,0.67,100,2.25e-14,1e-14
1.424e+11,6.0087e+07,1,100,2.25e-14,1e-14
1.2981e+11,7.8954e+08,1.5,100,2.25e-14,1e-14
1.1451e+11,1.3767e+09,2.25,100,2.25e-14,1e-14
1.423e+11,5.8181e+07,0.44,100,2.25e-14,1e-14
1.422e+11,1.1681e+08,0.67,10,2.25e-14,1e-14
1.224e+11,4.0567e+09,1,10,2.25e-14,1e-14
3.0293e+10,1.6188e+10,1.5,10,2.25e-14,1e-14
4.1481e+09,2.0693e+10,2.25,10,2.25e-14,1e-14
1.4205e+11,1.0139e+08,0.44,10,2.25e-14,1e-14
1.4145e+11,7.4051e+08,0.67,1,2.25e-14,1e-14
7.0745e+10,7.0745e+10,1,1,2.25e-14,1e-14
4.2597e+08,1.7704e+11,1.5,1,2.25e-14,1e-14
3.9705e+08,2.2023e+11,2.25,1,2.25e-14,1e-14
1.4153e+11,4.2575e+08,0.44,1,2.25e-14,1e-14
1.4051e+11,2.4313e+11,0.67,0.1,2.25e-14,1e-14
6.8595e+10,1.1075e+12,1,0.1,2.25e-14,1e-14
3.7263e+08,1.7932e+12,1.5,0.1,2.25e-14,1e-14
3.0814e+08,2.2221e+12,2.25,0.1,2.25e-14,1e-14
1.4115e+11,3.9371e+10,0.44,0.1,2.25e-14,1e-14
1.404e+11,9.3292e+12,0.67,0.01,2.25e-14,1e-14
9.3019e+10,1.3537e+13,1,0.01,2.25e-14,1e-14
2.0864e+08,1.805e+13,1.5,0.01,2.25e-14,1e-14
1.1058e+08,2.234e+13,2.25,0.01,2.25e-14,1e-14
1.4096e+11,8.0678e+12,0.44,0.01,2.25e-14,1e-14
