Cell_population,Cell2_population,relativecR,relativeI,cR,irate
1.1097e+16,5.5622e+14,0.67,100,2.25e-14,1e-14
5.9835e+15,5.9835e+15,1,100,2.25e-14,1e-14
4.7523e+14,1.3706e+16,1.5,100,2.25e-14,1e-14
9.2441e+13,1.6829e+16,2.25,100,2.25e-14,1e-14
1.1524e+16,1.0681e+14,0.44,100,2.25e-14,1e-14
1.1097e+16,5.5622e+14,0.67,10,2.25e-14,1e-14
5.9835e+15,5.9835e+15,1,10,2.25e-14,1e-14
4.7523e+14,1.3706e+16,1.5,10,2.25e-14,1e-14
9.2441e+13,1.6829e+16,2.25,10,2.25e-14,1e-14
1.1524e+16,1.0681e+14,0.44,10,2.25e-14,1e-14
1.1097e+16,5.5622e+14,0.67,1,2.25e-14,1e-14
5.9835e+15,5.9835e+15,1,1,2.25e-14,1e-14
4.7523e+14,1.3706e+16,1.5,1,2.25e-14,1e-14
9.2441e+13,1.6829e+16,2.25,1,2.25e-14,1e-14
1.1524e+16,1.0681e+14,0.44,1,2.25e-14,1e-14
1.1097e+16,5.5622e+14,0.67,0.1,2.25e-14,1e-14
5.9835e+15,5.9835e+15,1,0.1,2.25e-14,1e-14
4.7523e+14,1.3706e+16,1.5,0.1,2.25e-14,1e-14
9.2441e+13,1.6829e+16,2.25,0.1,2.25e-14,1e-14
1.1524e+16,1.0681e+14,0.44,0.1,2.25e-14,1e-14
1.1097e+16,5.5622e+14,0.67,0.01,2.25e-14,1e-14
5.9835e+15,5.9835e+15,1,0.01,2.25e-14,1e-14
4.7523e+14,1.3706e+16,1.5,0.01,2.25e-14,1e-14
9.2441e+13,1.6829e+16,2.25,0.01,2.25e-14,1e-14
1.1524e+16,1.0681e+14,0.44,0.01,2.25e-14,1e-14
