Cell_population,Cell2_population,relativeChi,relativeb,Chi,b
1.3436e+11,1.342e+11,0.42,0.1,315,30
7.1922e+10,7.1875e+10,0.42,1,315,30
1.2791e+10,1.2789e+10,0.42,10,315,30
3.4013e+10,3.4002e+10,0.42,3.1623,315,30
1.1117e+11,1.1106e+11,0.42,0.31623,315,30
1.3427e+11,1.3556e+11,5.62,0.1,315,30
7.1714e+10,7.2093e+10,5.62,1,315,30
1.2778e+10,1.2791e+10,5.62,10,315,30
3.394e+10,3.4027e+10,5.62,3.1623,315,30
1.1095e+11,1.1184e+11,5.62,0.31623,315,30
1.3435e+11,1.3435e+11,1,0.1,315,30
7.1899e+10,7.1899e+10,1,1,315,30
1.2789e+10,1.2789e+10,1,10,315,30
3.4005e+10,3.4005e+10,1,3.1623,315,30
1.1114e+11,1.1114e+11,1,0.31623,315,30
1.3437e+11,1.3414e+11,0.18,0.1,315,30
7.1932e+10,7.1865e+10,0.18,1,315,30
1.2791e+10,1.2789e+10,0.18,10,315,30
3.4017e+10,3.4001e+10,0.18,3.1623,315,30
1.1118e+11,1.1102e+11,0.18,0.31623,315,30
1.3433e+11,1.3471e+11,2.37,0.1,315,30
7.1844e+10,7.1957e+10,2.37,1,315,30
1.2786e+10,1.279e+10,2.37,10,315,30
3.3986e+10,3.4012e+10,2.37,3.1623,315,30
1.1108e+11,1.1135e+11,2.37,0.31623,315,30
