Cell_population,Cell2_population,relativeY,relativeb,Y,b
1.431e+11,8.0592e+09,0.84,0.1,1.229e+10,30
1.3665e+11,7.5295e+09,0.84,1,1.229e+10,30
9.2198e+10,4.9537e+09,0.84,10,1.229e+10,30
1.2289e+11,6.6611e+09,0.84,3.1623,1.229e+10,30
1.4151e+11,7.9109e+09,0.84,0.31623,1.229e+10,30
1.3435e+11,1.3435e+11,1,0.1,1.229e+10,30
7.1899e+10,7.1899e+10,1,1,1.229e+10,30
1.2789e+10,1.2789e+10,1,10,1.229e+10,30
3.4005e+10,3.4005e+10,1,3.1623,1.229e+10,30
1.1114e+11,1.1114e+11,1,0.31623,1.229e+10,30
4.8223e+10,1.5818e+12,1.19,0.1,1.229e+10,30
5.002e+09,1.536e+11,1.19,1,1.229e+10,30
5.91e+08,1.5365e+10,1.19,10,1.229e+10,30
1.688e+09,4.8471e+10,1.19,3.1623,1.229e+10,30
1.528e+10,4.9049e+11,1.19,0.31623,1.229e+10,30
1.9104e+09,2.5229e+12,1.41,0.1,1.229e+10,30
4.7222e+08,1.7321e+11,1.41,1,1.229e+10,30
1.4043e+08,1.6866e+10,1.41,10,1.229e+10,30
2.6078e+08,5.356e+10,1.41,3.1623,1.229e+10,30
8.2635e+08,5.9264e+11,1.41,0.31623,1.229e+10,30
1.4358e+11,1.2788e+09,0.71,0.1,1.229e+10,30
1.4345e+11,1.0795e+09,0.71,1,1.229e+10,30
1.4113e+11,8.0536e+08,0.71,10,1.229e+10,30
1.4309e+11,9.209e+08,0.71,3.1623,1.229e+10,30
1.4354e+11,1.2123e+09,0.71,0.31623,1.229e+10,30
