Cell_population,Cell2_population,relativecR,relativeb,cR,b
1.436e+11,9.2323e+08,0.67,0.1,2.25e-14,30
1.4375e+11,7.2528e+08,0.67,1,2.25e-14,30
1.4485e+11,4.6334e+08,0.67,10,2.25e-14,30
1.4414e+11,5.6848e+08,0.67,3.1623,2.25e-14,30
1.4363e+11,8.5743e+08,0.67,0.31623,2.25e-14,30
1.3435e+11,1.3435e+11,1,0.1,2.25e-14,30
7.1899e+10,7.1899e+10,1,1,2.25e-14,30
1.2789e+10,1.2789e+10,1,10,2.25e-14,30
3.4005e+10,3.4005e+10,1,3.1623,2.25e-14,30
1.1114e+11,1.1114e+11,1,0.31623,2.25e-14,30
8.5263e+08,2.6151e+12,1.5,0.1,2.25e-14,30
3.9763e+08,1.7904e+11,1.5,1,2.25e-14,30
1.3321e+08,1.743e+10,1.5,10,2.25e-14,30
2.3751e+08,5.5359e+10,1.5,3.1623,2.25e-14,30
5.7601e+08,6.1276e+11,1.5,0.31623,2.25e-14,30
5.8282e+08,3.2256e+12,2.25,0.1,2.25e-14,30
3.6199e+08,2.2192e+11,2.25,1,2.25e-14,30
1.2979e+08,2.1589e+10,2.25,10,2.25e-14,30
2.2456e+08,6.8615e+10,2.25,3.1623,2.25e-14,30
4.9549e+08,7.5857e+11,2.25,0.31623,2.25e-14,30
1.4361e+11,6.0145e+08,0.44,0.1,2.25e-14,30
1.4382e+11,4.076e+08,0.44,1,2.25e-14,30
1.4677e+11,1.3868e+08,0.44,10,2.25e-14,30
1.4451e+11,2.4731e+08,0.44,3.1623,2.25e-14,30
1.4365e+11,5.3866e+08,0.44,0.31623,2.25e-14,30
