Cell_population,Cell2_population,relativeChi,relativeb,Chi,b
1.347e+11,1.3463e+11,0.42,0.1,315,30
7.2041e+10,7.202e+10,0.42,1,315,30
1.28e+10,1.2799e+10,0.42,10,315,30
3.4051e+10,3.4046e+10,0.42,3.1623,315,30
1.1141e+11,1.1136e+11,0.42,0.31623,315,30
1.3466e+11,1.352e+11,5.62,0.1,315,30
7.1954e+10,7.2117e+10,5.62,1,315,30
1.2794e+10,1.28e+10,5.62,10,315,30
3.4019e+10,3.4058e+10,5.62,3.1623,315,30
1.1132e+11,1.1169e+11,5.62,0.31623,315,30
1.3469e+11,1.3469e+11,1,0.1,315,30
7.2031e+10,7.2031e+10,1,1,315,30
1.2799e+10,1.2799e+10,1,10,315,30
3.4048e+10,3.4048e+10,1,3.1623,315,30
1.114e+11,1.114e+11,1,0.31623,315,30
1.347e+11,1.346e+11,0.18,0.1,315,30
7.2045e+10,7.2016e+10,0.18,1,315,30
1.28e+10,1.2799e+10,0.18,10,315,30
3.4053e+10,3.4046e+10,0.18,3.1623,315,30
1.1141e+11,1.1135e+11,0.18,0.31623,315,30
1.3468e+11,1.3484e+11,2.37,0.1,315,30
7.2008e+10,7.2057e+10,2.37,1,315,30
1.2798e+10,1.28e+10,2.37,10,315,30
3.4039e+10,3.4051e+10,2.37,3.1623,315,30
1.1138e+11,1.1149e+11,2.37,0.31623,315,30
