Cell_population,Cell2_population,relativeI,relativeb,irate,b
1.4303e+11,1.7815e+09,100,0.1,1e-14,30
1.3799e+11,7.4058e+08,100,1,1e-14,30
1.3365e+11,1.728e+08,100,10,1e-14,30
1.349e+11,3.6612e+08,100,3.1623,1e-14,30
1.4106e+11,1.262e+09,100,0.31623,1e-14,30
1.4008e+11,1.3194e+10,10,0.1,1e-14,30
1.1425e+11,6.4163e+09,10,1,1e-14,30
7.883e+10,1.2419e+09,10,10,1e-14,30
9.4885e+10,3.0871e+09,10,3.1623,1e-14,30
1.3064e+11,1.035e+10,10,0.31623,1e-14,30
1.3469e+11,1.3469e+11,1,0.1,1e-14,30
7.2031e+10,7.2031e+10,1,1,1e-14,30
1.2799e+10,1.2799e+10,1,10,1e-14,30
3.4048e+10,3.4048e+10,1,3.1623,1e-14,30
1.114e+11,1.114e+11,1,0.31623,1e-14,30
1.304e+11,1.0529e+13,0.1,0.1,1e-14,30
6.9874e+10,1.1073e+12,0.1,1,1e-14,30
1.3295e+10,1.3399e+11,0.1,10,1e-14,30
3.4783e+10,3.9637e+11,0.1,3.1623,1e-14,30
1.056e+11,3.0733e+12,0.1,0.31623,1e-14,30
1.3563e+11,1.9478e+14,0.01,0.1,1e-14,30
9.4219e+10,1.3534e+13,0.01,1,1e-14,30
2.6154e+10,1.373e+12,0.01,10,1e-14,30
5.7839e+10,4.2881e+12,0.01,3.1623,1e-14,30
1.2019e+11,4.5468e+13,0.01,0.31623,1e-14,30
