Cell_population,Cell2_population,relativeY,relativeb,Y,b
1.4346e+11,8.167e+09,0.84,0.1,1.229e+10,1e-14
1.369e+11,7.5715e+09,0.84,1,1.229e+10,1e-14
9.2279e+10,4.9592e+09,0.84,10,1.229e+10,1e-14
1.2305e+11,6.677e+09,0.84,3.1623,1.229e+10,1e-14
1.4183e+11,7.991e+09,0.84,0.31623,1.229e+10,1e-14
1.3469e+11,1.3469e+11,1,0.1,1.229e+10,1e-14
7.2031e+10,7.2031e+10,1,1,1.229e+10,1e-14
1.2799e+10,1.2799e+10,1,10,1.229e+10,1e-14
3.4048e+10,3.4048e+10,1,3.1623,1.229e+10,1e-14
1.114e+11,1.114e+11,1,0.31623,1.229e+10,1e-14
4.8407e+10,1.5848e+12,1.19,0.1,1.229e+10,1e-14
5.0433e+09,1.5381e+11,1.19,1,1.229e+10,1e-14
5.9313e+08,1.5374e+10,1.19,10,1.229e+10,1e-14
1.6995e+09,4.8515e+10,1.19,3.1623,1.229e+10,1e-14
1.5375e+10,4.9134e+11,1.19,0.31623,1.229e+10,1e-14
2.0104e+09,2.5278e+12,1.41,0.1,1.229e+10,1e-14
5.1204e+08,1.7339e+11,1.41,1,1.229e+10,1e-14
1.4271e+08,1.6873e+10,1.41,10,1.229e+10,1e-14
2.7279e+08,5.3598e+10,1.41,3.1623,1.229e+10,1e-14
9.0224e+08,5.9349e+11,1.41,0.31623,1.229e+10,1e-14
1.4395e+11,1.373e+09,0.71,0.1,1.229e+10,1e-14
1.4374e+11,1.1089e+09,0.71,1,1.229e+10,1e-14
1.4135e+11,8.0752e+08,0.71,10,1.229e+10,1e-14
1.4334e+11,9.289e+08,0.71,3.1623,1.229e+10,1e-14
1.4388e+11,1.2784e+09,0.71,0.31623,1.229e+10,1e-14
