Cell_population,Cell2_population,relativecR,relativeb,cR,b
1.4397e+11,1.0164e+09,0.67,0.1,2.25e-14,30
1.4406e+11,7.534e+08,0.67,1,2.25e-14,30
1.4511e+11,4.65e+08,0.67,10,2.25e-14,30
1.4441e+11,5.7564e+08,0.67,3.1623,2.25e-14,30
1.4397e+11,9.2222e+08,0.67,0.31623,2.25e-14,30
1.3469e+11,1.3469e+11,1,0.1,2.25e-14,30
7.2031e+10,7.2031e+10,1,1,2.25e-14,30
1.2799e+10,1.2799e+10,1,10,2.25e-14,30
3.4048e+10,3.4048e+10,1,3.1623,2.25e-14,30
1.114e+11,1.114e+11,1,0.31623,2.25e-14,30
9.5128e+08,2.6198e+12,1.5,0.1,2.25e-14,30
4.3882e+08,1.7921e+11,1.5,1,2.25e-14,30
1.3563e+08,1.7437e+10,1.5,10,2.25e-14,30
2.5014e+08,5.5396e+10,1.5,3.1623,2.25e-14,30
6.5292e+08,6.1356e+11,1.5,0.31623,2.25e-14,30
6.8551e+08,3.2282e+12,2.25,0.1,2.25e-14,30
4.1459e+08,2.2203e+11,2.25,1,2.25e-14,30
1.3337e+08,2.1594e+10,2.25,10,2.25e-14,30
2.4219e+08,6.8643e+10,2.25,3.1623,2.25e-14,30
5.8389e+08,7.59e+11,2.25,0.31623,2.25e-14,30
1.4397e+11,6.9225e+08,0.44,0.1,2.25e-14,30
1.4415e+11,4.3121e+08,0.44,1,2.25e-14,30
1.4718e+11,1.3939e+08,0.44,10,2.25e-14,30
1.4483e+11,2.5212e+08,0.44,3.1623,2.25e-14,30
1.4399e+11,5.9939e+08,0.44,0.31623,2.25e-14,30
