Cell_population,Cell2_population,relativeY,relativeb,Y,b
1.4083e+11,8.0032e+09,0.84,0.1,1.229e+10,30
1.3442e+11,7.4338e+09,0.84,1,1.229e+10,30
9.0561e+10,4.8689e+09,0.84,10,1.229e+10,30
1.2082e+11,6.5582e+09,0.84,3.1623,1.229e+10,30
1.3924e+11,7.8374e+09,0.84,0.31623,1.229e+10,30
1.3223e+11,1.3223e+11,1,0.1,1.229e+10,30
7.0745e+10,7.0745e+10,1,1,1.229e+10,30
1.2581e+10,1.2581e+10,1,10,1.229e+10,30
3.3453e+10,3.3453e+10,1,3.1623,1.229e+10,30
1.0938e+11,1.0938e+11,1,0.31623,1.229e+10,30
4.7583e+10,1.5584e+12,1.19,0.1,1.229e+10,30
4.9621e+09,1.5145e+11,1.19,1,1.229e+10,30
5.8586e+08,1.5149e+10,1.19,10,1.229e+10,30
1.6748e+09,4.7791e+10,1.19,3.1623,1.229e+10,30
1.512e+10,4.8354e+11,1.19,0.31623,1.229e+10,30
1.963e+09,2.4931e+12,1.41,0.1,1.229e+10,30
4.9885e+08,1.7115e+11,1.41,1,1.229e+10,30
1.4197e+08,1.6664e+10,1.41,10,1.229e+10,30
2.6893e+08,5.2922e+10,1.41,3.1623,1.229e+10,30
8.7524e+08,5.8562e+11,1.41,0.31623,1.229e+10,30
1.4131e+11,1.3333e+09,0.71,0.1,1.229e+10,30
1.4114e+11,1.0893e+09,0.71,1,1.229e+10,30
1.3873e+11,7.9482e+08,0.71,10,1.229e+10,30
1.4076e+11,9.1506e+08,0.71,3.1623,1.229e+10,30
1.4126e+11,1.2478e+09,0.71,0.31623,1.229e+10,30
