Cell_population,Cell2_population,relativecA,relativeb,cA,b
1.3223e+11,1.3223e+11,0.44,0.1,4.17e-16,30
7.0745e+10,7.0745e+10,0.44,1,4.17e-16,30
1.2581e+10,1.2581e+10,0.44,10,4.17e-16,30
3.3453e+10,3.3453e+10,0.44,3.1623,4.17e-16,30
1.0938e+11,1.0938e+11,0.44,0.31623,4.17e-16,30
1.3223e+11,1.3223e+11,0.67,0.1,4.17e-16,30
7.0745e+10,7.0745e+10,0.67,1,4.17e-16,30
1.2581e+10,1.2581e+10,0.67,10,4.17e-16,30
3.3453e+10,3.3453e+10,0.67,3.1623,4.17e-16,30
1.0938e+11,1.0938e+11,0.67,0.31623,4.17e-16,30
1.3223e+11,1.3223e+11,1,0.1,4.17e-16,30
7.0745e+10,7.0745e+10,1,1,4.17e-16,30
1.2581e+10,1.2581e+10,1,10,4.17e-16,30
3.3453e+10,3.3453e+10,1,3.1623,4.17e-16,30
1.0938e+11,1.0938e+11,1,0.31623,4.17e-16,30
1.3223e+11,1.3223e+11,1.5,0.1,4.17e-16,30
7.0746e+10,7.0746e+10,1.5,1,4.17e-16,30
1.2581e+10,1.2581e+10,1.5,10,4.17e-16,30
3.3453e+10,3.3453e+10,1.5,3.1623,4.17e-16,30
1.0938e+11,1.0938e+11,1.5,0.31623,4.17e-16,30
1.3223e+11,1.3223e+11,2.25,0.1,4.17e-16,30
7.0746e+10,7.0746e+10,2.25,1,4.17e-16,30
1.2581e+10,1.2581e+10,2.25,10,4.17e-16,30
3.3453e+10,3.3453e+10,2.25,3.1623,4.17e-16,30
1.0938e+11,1.0938e+11,2.25,0.31623,4.17e-16,30
