Cell_population,Cell2_population,relativeI,relativeb,irate,b
5.9835e+15,5.9835e+15,100,0.1,1.229e+10,30
5.9835e+15,5.9835e+15,100,1,1.229e+10,30
5.9835e+15,5.9835e+15,100,10,1.229e+10,30
5.9835e+15,5.9835e+15,100,3.1623,1.229e+10,30
5.9835e+15,5.9835e+15,100,0.31623,1.229e+10,30
5.9835e+15,5.9835e+15,10,0.1,1.229e+10,30
5.9835e+15,5.9835e+15,10,1,1.229e+10,30
5.9835e+15,5.9835e+15,10,10,1.229e+10,30
5.9835e+15,5.9835e+15,10,3.1623,1.229e+10,30
5.9835e+15,5.9835e+15,10,0.31623,1.229e+10,30
5.9835e+15,5.9835e+15,1,0.1,1.229e+10,30
5.9835e+15,5.9835e+15,1,1,1.229e+10,30
5.9835e+15,5.9835e+15,1,10,1.229e+10,30
5.9835e+15,5.9835e+15,1,3.1623,1.229e+10,30
5.9835e+15,5.9835e+15,1,0.31623,1.229e+10,30
5.9835e+15,5.9835e+15,0.1,0.1,1.229e+10,30
5.9835e+15,5.9835e+15,0.1,1,1.229e+10,30
5.9835e+15,5.9835e+15,0.1,10,1.229e+10,30
5.9835e+15,5.9835e+15,0.1,3.1623,1.229e+10,30
5.9835e+15,5.9835e+15,0.1,0.31623,1.229e+10,30
5.9835e+15,5.9835e+15,0.01,0.1,1.229e+10,30
5.9835e+15,5.9835e+15,0.01,1,1.229e+10,30
5.9835e+15,5.9835e+15,0.01,10,1.229e+10,30
5.9835e+15,5.9835e+15,0.01,3.1623,1.229e+10,30
5.9835e+15,5.9835e+15,0.01,0.31623,1.229e+10,30
