,,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0s,26.4 °C,0.0733,0.0735,0.0756,0.0729,0.0737,0.0729,0.0723,0.0729,0.0728,0.074,0.0729,0.0718,0.0777,0.0999,0.0982,0.1135,0.1146,0.1259,0.1049,0.0938,0.099,0.0913,0.0887,0.0805,0.0816,0.1011,0.0977,0.1048,0.1013,0.11,0.1023,0.0978,0.0975,0.0892,0.0945,0.0736,0.0787,0.0948,0.0954,0.1105,0.1031,0.1075,0.1006,0.1025,0.1012,0.0901,0.0952,0.0807,0.083,0.1045,0.1036,0.1097,0.108,0.0961,0.0943,0.105,0.098,0.0875,0.0984,0.0739,0.0786,0.1059,0.1038,0.1274,0.1129,0.0943,0.0973,0.0979,0.0966,0.0929,0.0987,0.079,0.0814,0.1105,0.1135,0.108,0.1045,0.0948,0.0955,0.0985,0.0976,0.0922,0.1029,0.0746,0.0782,0.0772,0.0829,0.0764,0.0774,0.0769,0.0756,0.079,0.0783,0.0774,0.0779,0.0733
900s,28.9 °C,0.072,0.073,0.0742,0.0726,0.0736,0.0726,0.0718,0.0731,0.0731,0.0731,0.0723,0.0718,0.0776,0.0973,0.0959,0.1076,0.1125,0.1077,0.1011,0.1007,0.1047,0.0994,0.1013,0.0775,0.0798,0.1,0.1001,0.0998,0.1049,0.1001,0.1024,0.1018,0.102,0.0985,0.0996,0.0735,0.0775,0.0974,0.0955,0.1037,0.1043,0.1015,0.0976,0.1027,0.1055,0.0959,0.0992,0.0751,0.0765,0.1049,0.105,0.1057,0.1059,0.0958,0.096,0.1052,0.106,0.095,0.0998,0.0732,0.0785,0.1036,0.1027,0.1044,0.1044,0.1001,0.0975,0.0996,0.099,0.0984,0.1,0.077,0.0765,0.1072,0.1058,0.1051,0.1054,0.0959,0.0963,0.1019,0.1026,0.099,0.1,0.0743,0.0777,0.0774,0.0827,0.0767,0.0774,0.0771,0.076,0.0804,0.0783,0.0774,0.0788,0.0826
1800s,29.0 °C,0.072,0.0731,0.0735,0.0723,0.0734,0.0724,0.0718,0.0729,0.073,0.073,0.0723,0.0714,0.0784,0.0981,0.0966,0.1092,0.1137,0.1035,0.103,0.1011,0.105,0.0993,0.1007,0.0777,0.0778,0.1008,0.101,0.1005,0.1043,0.1001,0.1011,0.1016,0.1022,0.0991,0.1004,0.0731,0.0781,0.0988,0.0973,0.1041,0.1036,0.103,0.0981,0.1022,0.106,0.0967,0.1002,0.0775,0.0766,0.1048,0.1054,0.1049,0.1054,0.0969,0.0961,0.1067,0.1071,0.0951,0.1,0.0734,0.0791,0.1042,0.1026,0.1053,0.1046,0.1012,0.0988,0.0989,0.0992,0.0978,0.1006,0.0776,0.0762,0.105,0.1065,0.1056,0.1054,0.098,0.0974,0.1018,0.102,0.1003,0.0997,0.074,0.0782,0.0777,0.0825,0.0764,0.0781,0.0773,0.0765,0.081,0.0786,0.0779,0.0789,0.0741
2700s,29.1 °C,0.0718,0.0729,0.0736,0.0724,0.0733,0.0724,0.0718,0.073,0.0728,0.0731,0.0725,0.0715,0.0784,0.0982,0.0972,0.111,0.1153,0.1003,0.1014,0.1022,0.1059,0.0989,0.0996,0.076,0.0757,0.102,0.1023,0.0988,0.1031,0.099,0.102,0.1026,0.102,0.1001,0.1009,0.0728,0.0782,0.1004,0.0986,0.1035,0.1034,0.1049,0.0978,0.1043,0.1074,0.0976,0.1011,0.0747,0.0778,0.1053,0.1059,0.1043,0.1048,0.0957,0.0956,0.1081,0.1081,0.0946,0.0991,0.0736,0.0795,0.1047,0.1048,0.107,0.1053,0.1024,0.1,0.1006,0.1025,0.0972,0.1005,0.0758,0.0764,0.1058,0.1064,0.1064,0.1075,0.0999,0.099,0.1014,0.1017,0.1019,0.0996,0.0739,0.0784,0.077,0.0826,0.077,0.0781,0.078,0.0771,0.0811,0.0791,0.0782,0.0795,0.0836
3600s,29.0 °C,0.0718,0.073,0.0734,0.0726,0.0734,0.0725,0.0717,0.073,0.0729,0.0731,0.0724,0.0714,0.0787,0.0984,0.0973,0.1133,0.1171,0.1009,0.1004,0.1025,0.1064,0.0983,0.0992,0.0746,0.074,0.1038,0.1038,0.098,0.1026,0.0991,0.101,0.1015,0.1022,0.1008,0.1021,0.0731,0.0785,0.1019,0.0995,0.1035,0.1026,0.109,0.0978,0.1037,0.1075,0.0982,0.1017,0.076,0.0783,0.1061,0.1067,0.1029,0.1041,0.0959,0.0952,0.1092,0.1091,0.0947,0.1018,0.0737,0.0794,0.1048,0.1059,0.1084,0.1065,0.104,0.1016,0.0987,0.0991,0.0968,0.1,0.0784,0.0755,0.1061,0.1069,0.1072,0.1081,0.101,0.1,0.101,0.101,0.1033,0.0997,0.074,0.0787,0.0779,0.0828,0.0772,0.0781,0.0777,0.0765,0.0809,0.0786,0.078,0.0793,0.0799
4500s,29.1 °C,0.0719,0.0731,0.0735,0.0726,0.0732,0.0725,0.0718,0.0731,0.0729,0.073,0.0726,0.0713,0.0791,0.0987,0.0975,0.1158,0.119,0.0995,0.1011,0.1028,0.1068,0.0986,0.0989,0.0763,0.0815,0.1057,0.1057,0.0989,0.1038,0.0998,0.1015,0.1019,0.1035,0.1023,0.1035,0.0726,0.0787,0.1028,0.1024,0.1022,0.1023,0.1109,0.0987,0.1051,0.109,0.0983,0.1019,0.0756,0.0774,0.1061,0.1072,0.1037,0.1046,0.0959,0.0951,0.1105,0.1101,0.0952,0.1018,0.0731,0.0793,0.1051,0.1038,0.1098,0.1074,0.1053,0.1032,0.0987,0.1005,0.0973,0.1031,0.0775,0.0771,0.1069,0.108,0.1081,0.1089,0.102,0.1015,0.1011,0.1011,0.1056,0.1003,0.0744,0.0789,0.0779,0.0826,0.0771,0.0782,0.0775,0.0764,0.0807,0.0782,0.0779,0.0794,0.081
5400s,29.1 °C,0.0718,0.073,0.0815,0.0726,0.0732,0.0724,0.0717,0.0729,0.0727,0.0729,0.0723,0.0712,0.0787,0.0996,0.0985,0.1199,0.1233,0.1018,0.1025,0.1043,0.1079,0.0995,0.0993,0.0748,0.0759,0.1086,0.1083,0.1111,0.1046,0.1007,0.1032,0.1027,0.1042,0.1045,0.1058,0.0729,0.0786,0.1047,0.1045,0.1026,0.1024,0.1161,0.1005,0.1069,0.1111,0.099,0.1026,0.0785,0.0765,0.107,0.1083,0.1054,0.1056,0.0964,0.0959,0.113,0.1125,0.0964,0.1034,0.0731,0.0797,0.1064,0.1055,0.1122,0.1098,0.1075,0.1058,0.0998,0.0993,0.0983,0.1052,0.0779,0.0773,0.1092,0.1098,0.1092,0.1101,0.1045,0.1035,0.1015,0.1017,0.1083,0.1018,0.0745,0.0793,0.0781,0.0826,0.0769,0.0778,0.077,0.0768,0.0805,0.0783,0.078,0.0797,0.0749
6300s,29.1 °C,0.0718,0.073,0.0731,0.0724,0.073,0.0724,0.0717,0.073,0.0726,0.0731,0.0723,0.0714,0.079,0.1012,0.0994,0.1247,0.1277,0.1034,0.1045,0.106,0.1093,0.1002,0.1,0.0747,0.0768,0.1119,0.1116,0.101,0.1199,0.1027,0.106,0.1044,0.1057,0.1069,0.1081,0.0728,0.0788,0.1071,0.1064,0.1035,0.1029,0.1204,0.1027,0.1084,0.1134,0.0996,0.1029,0.076,0.077,0.108,0.1099,0.1051,0.1065,0.0972,0.0966,0.1166,0.1158,0.0978,0.103,0.073,0.0794,0.1078,0.1066,0.1153,0.112,0.1101,0.1082,0.101,0.1001,0.1001,0.1042,0.0758,0.078,0.1116,0.1115,0.1106,0.1117,0.1068,0.1061,0.1021,0.1022,0.112,0.1039,0.074,0.0794,0.0777,0.0825,0.0774,0.078,0.0775,0.0768,0.0808,0.0783,0.078,0.0795,0.081
7200s,29.0 °C,0.0718,0.0731,0.0735,0.0727,0.0731,0.0723,0.0718,0.073,0.0726,0.073,0.0723,0.0713,0.0792,0.102,0.1008,0.1316,0.1339,0.1048,0.1063,0.108,0.1105,0.1013,0.1013,0.0727,0.0764,0.1164,0.1158,0.1024,0.13,0.1056,0.1112,0.1062,0.107,0.1097,0.1115,0.0728,0.079,0.1092,0.1095,0.106,0.1055,0.1281,0.1058,0.1107,0.1167,0.1006,0.1038,0.0785,0.0764,0.1093,0.1113,0.1065,0.1072,0.0982,0.0976,0.1214,0.1204,0.0996,0.1052,0.0731,0.0794,0.109,0.1076,0.1192,0.1149,0.1137,0.1119,0.1027,0.1036,0.1016,0.1068,0.075,0.077,0.1153,0.1153,0.1137,0.1154,0.1098,0.109,0.1031,0.1033,0.1164,0.1065,0.0741,0.079,0.0784,0.083,0.0774,0.0781,0.0775,0.0765,0.0808,0.0782,0.0778,0.0793,0.0774
8100s,29.0 °C,0.072,0.0731,0.0734,0.0729,0.0734,0.0727,0.0719,0.0731,0.0729,0.0734,0.0727,0.0715,0.0797,0.1039,0.1027,0.1403,0.142,0.1068,0.1156,0.1096,0.1123,0.1031,0.1028,0.0788,0.0742,0.1212,0.1202,0.105,0.137,0.1078,0.1158,0.1092,0.111,0.1122,0.115,0.0732,0.0786,0.1119,0.1128,0.1098,0.1089,0.1337,0.1104,0.1136,0.1196,0.1026,0.1061,0.0778,0.0772,0.1105,0.1126,0.1086,0.1092,0.0997,0.0988,0.1279,0.127,0.1017,0.1077,0.0734,0.0794,0.1107,0.1101,0.1241,0.1187,0.1185,0.1163,0.1049,0.1036,0.1033,0.1096,0.0781,0.0761,0.1193,0.1195,0.118,0.1203,0.113,0.1125,0.1048,0.1048,0.1231,0.11,0.074,0.079,0.0777,0.0824,0.0776,0.0778,0.0772,0.0765,0.0807,0.0784,0.078,0.0795,0.0776
